literature_id,reaction_id,inhibitor_name,parameter_type,value,unit,error_margin,thermodynamics
PMID32170014,reaction_1,Terbinafine,ic50,130.0,nM,,
PMID32170014,reaction_1,Butenafine,ic50,200.0,nM,,
PMID32170014,reaction_1,Naftifine,ic50,1100.0,nM,,
PMID32171154,reaction_1,"1-(4-methoxyphenyl)-3-(5-(5-nitrofuran-2-yl)-1,3,4-thiadiazol-2-yl)thiourea (5b)",ki,2.02,µM,± 0.24,
PMID32171154,reaction_1,"1-(4-fluorophenyl)-3-(5-(5-nitrofuran-2-yl)-1,3,4-thiadiazol-2-yl)thiourea (5c)",ki,5.48,µM,± 0.45,
PMID32171154,reaction_1,"1-(4-methoxyphenyl)-3-(5-(5-nitrothiophen-2-yl)-1,3,4-thiadiazol-2-yl)thiourea (5e)",ki,9.27,µM,± 1.45,
PMID32171154,reaction_1,"1-(4-chlorophenyl)-3-(5-(5-nitrothiophen-2-yl)-1,3,4-thiadiazol-2-yl)thiourea (5g)",ki,8.35,µM,± 1.02,
PMID32171154,reaction_1,"4-acetyl-N-(5-(5-nitrofuran-2-yl)-1,3,4-thiadiazol-2-yl)benzenesulfonamide (6c)",ki,4.72,µM,± 0.27,
PMID32171154,reaction_1,"((4-methoxyphenyl)carbamoyl)(5-(5-nitrothiophen-2-yl)-1,3,4-thiadiazol-2-yl)amide (Lead)",ki,3.06,µM,± 0.25,
PMID32178258,reaction_1,3'-deoxyguanosine-5'-triphosphate,ic50,1.0,µM,,
PMID32178974,reaction_1,Compound 1,ki,7.3,µM,± 0.1,
PMID32180325,reaction_2,8-vinyl chlorophyllide a,ic50,5,µM,,
PMID32184968,reaction_1,THZ-P1-2,ic50,0.95,µM,± 0.34,
PMID32184968,reaction_1,Compound 6,ic50,2.1,µM,± 0.0,
PMID32184968,reaction_1,Compound 7,ic50,3.5,µM,± 0.24,
PMID32184968,reaction_1,Compound 8,ic50,1.3,µM,± 0.36,
PMID32184968,reaction_1,Compound 9,ic50,1.3,µM,± 0.16,
PMID32184968,reaction_1,Compound 10,ic50,19.3,µM,± 0.0,
PMID32184968,reaction_1,Compound 11,ic50,17.4,µM,± 4.8,
PMID32184968,reaction_1,Compound 14,ic50,5.2,µM,± 2.8,
PMID32184968,reaction_1,Compound 15,ic50,5.3,µM,± 3.9,
PMID32184968,reaction_1,Compound 16,ic50,6.5,µM,± 0.90,
PMID32184968,reaction_1,Compound 17,ic50,2.1,µM,± 0.78,
PMID32184968,reaction_1,Compound 18,ic50,1.99,µM,± 0.36,
PMID32184968,reaction_1,Compound 19,ic50,2.0,µM,± 1.17,
PMID32184968,reaction_1,Compound 25,ic50,2.6,µM,± 0.76,
PMID32184968,reaction_1,Compound 30,ic50,1.3,µM,,
PMID32184968,reaction_2,THZ-P1-2,ic50,5.9,µM,± 5.4,
PMID32184968,reaction_2,Compound 6,ic50,10.9,µM,± 4.0,
PMID32184968,reaction_2,Compound 7,ic50,15.8,µM,± 7.5,
PMID32184968,reaction_2,Compound 8,ic50,6.3,µM,± 2.6,
PMID32184968,reaction_2,Compound 9,ic50,6.2,µM,± 1.3,
PMID32184968,reaction_2,Compound 10,ic50,24.5,µM,± 6.1,
PMID32184968,reaction_2,Compound 11,ic50,30.4,µM,± 32.8,
PMID32184968,reaction_2,Compound 14,ic50,29.8,µM,± 12.1,
PMID32184968,reaction_2,Compound 15,ic50,33.6,µM,± 8.2,
PMID32184968,reaction_2,Compound 16,ic50,20.5,µM,± 11.9,
PMID32184968,reaction_2,Compound 17,ic50,8.9,µM,± 2.9,
PMID32184968,reaction_2,Compound 18,ic50,35.6,µM,± 2.4,
PMID32184968,reaction_2,Compound 19,ic50,31.8,µM,± 4.1,
PMID32184968,reaction_2,Compound 25,ic50,10.1,µM,± 10.2,
PMID32184968,reaction_2,Compound 30,ic50,9.9,µM,,
PMID32196942,reaction_1,ATP,ki,1.3,mM,± 0.7,
PMID32196942,reaction_1,ATP,ki,0.26,mM,± 0.16,
PMID32196942,reaction_1,ADP,ic50,0.5,mM,± 0.02,
PMID32196942,reaction_1,ADP,ic50,1.1,mM,± 0.06,
PMID32196942,reaction_1,Mg2+,kd,0.21,mM,,
PMID32196942,reaction_2,ATP,ki,0.1,mM,± 0.04,
PMID32196942,reaction_2,ATP,ki,0.44,mM,± 0.2,
PMID32196942,reaction_2,ADP,ic50,0.9,mM,± 0.05,
PMID32196942,reaction_2,ADP,ic50,1.3,mM,± 0.1,
PMID32198779,reaction_1,3-(methylsulfonyl)-2-oxopropanic acid,ki,153.0,nM,± 25,
PMID32198779,reaction_1,MMV688271,ki,38.4,nM,± 5.5,
PMID32198779,reaction_2,3-(methylsulfonyl)-2-oxopropanic acid,ki,531.0,nM,± 68,
PMID32198779,reaction_2,MMV688271,ki,22.2,nM,± 15.4,
PMID32200327,reaction_1,7-Deazaxanthine (7DX),ic50,38.68,µM,± 1.12,
PMID32200327,reaction_1,2-(2-methyl-1H-indol-3-yl)-N'-(4-nitrobenzylidene)acetohydrazide (1),ic50,13.2,µM,± 0.30,
PMID32200327,reaction_1,"N'-(2,4-dihydroxybenzylidene)-2-(2-methyl-1H-indol-3-yl)acetohydrazide (2)",ic50,5.6,µM,± 0.20,
PMID32200327,reaction_1,"N'-(3,5-dihydroxybenzylidene)-2-(2-methyl-1H-indol-3-yl)acetohydrazide (3)",ic50,3.9,µM,± 0.10,
PMID32200327,reaction_1,N'-(2-methoxybenzylidene)-2-(2-methyl-1H-indol-3-yl)acetohydrazide (4),ic50,36.1,µM,± 0.80,
PMID32200327,reaction_1,"N'-(3,4-dihydroxybenzylidene)-2-(2-methyl-1H-indol-3-yl)acetohydrazide (5)",ic50,1.4,µM,± 0.10,
PMID32200327,reaction_1,"N'-(2,5-dihydroxybenzylidene)-2-(2-methyl-1H-indol-3-yl)acetohydrazide (6)",ic50,9.2,µM,± 0.20,
PMID32200327,reaction_1,N'-(3-hydroxybenzylidene)-2-(2-methyl-1H-indol-3-yl)acetohydrazide (7),ic50,18.5,µM,± 0.40,
PMID32200327,reaction_1,"2-(2-methyl-1H-indol-3-yl)-N'-(2,4,6-trihydroxybenzylidene)acetohydrazide (8)",ic50,1.1,µM,± 0.10,
PMID32200327,reaction_1,N'-(4-(dimethylamino)benzylidene)-2-(2-methyl-1H-indol-3-yl)acetohydrazide (9),ic50,31.1,µM,± 0.70,
PMID32200327,reaction_1,2-(2-methyl-1H-indol-3-yl)-N'-(2-nitrobenzylidene)acetohydrazide (10),ic50,15.8,µM,± 0.10,
PMID32200327,reaction_1,2-(2-methyl-1H-indol-3-yl)-N'-(3-nitrobenzylidene)acetohydrazide (11),ic50,22.2,µM,± 0.50,
PMID32200327,reaction_1,N'-(4-hydroxybenzylidene)-2-(2-methyl-1H-indol-3-yl)acetohydrazide (12),ic50,8.2,µM,± 0.20,
PMID32200327,reaction_1,N'-(4-chlorobenzylidene)-2-(2-methyl-1H-indol-3-yl)acetohydrazide (13),ic50,19.9,µM,± 0.40,
PMID32200327,reaction_1,methyl-4-((2-(2-(2-methyl-1H-indol-3-yl)acetyl)hydrazono)methyl)benzoate (14),ic50,11.6,µM,± 0.20,
PMID32200327,reaction_1,2-(2-methyl-1H-indol-3-yl)-N'-(2-methylbenzylidene)acetohydrazide (15),ic50,22.2,µM,± 0.60,
PMID32200327,reaction_1,2-(2-methyl-1H-indol-3-yl)-N'-(4-methylbenzylidene)acetohydrazide (16),ic50,38.1,µM,± 0.90,
PMID32200327,reaction_1,N'-(3-chlorobenzylidene)-2-(2-methyl-1H-indol-3-yl)acetohydrazide (17),ic50,18.4,µM,± 0.40,
PMID32200327,reaction_1,N'-(2-hydroxybenzylidene)-2-(2-methyl-1H-indol-3-yl)acetohydrazide (18),ic50,6.6,µM,± 0.20,
PMID32200327,reaction_1,2-(2-methyl-1H-indol-3-yl)-N'-(3-methylbenzylidene)acetohydrazide (19),ic50,41.1,µM,± 1.10,
PMID32200327,reaction_1,N'-(3-hydroxy-4-methoxybenzylidene)-2-(2-methyl-1H-indol-3-yl)acetohydrazide (20),ic50,4.8,µM,± 0.10,
PMID32200327,reaction_1,"N'-(2,3-dihydroxybenzylidene)-2-(2-methyl-1H-indol-3-yl)acetohydrazide (22)",ic50,1.2,µM,± 0.05,
PMID32226297,reaction_1,CBR-5884,ic50,33.0,µM,± 12,
PMID32226297,reaction_1,NCT-503,ic50,2.5,µM,± 0.6,
PMID32226297,reaction_1,Azacoccone E,ic50,9.8,µM,± 4.3,
PMID32226297,reaction_1,Ixocarpalactone A,ic50,1.66,µM,± 0.28,
PMID32246282,reaction_2,Acetate,kd,21.9,mM,± 3.6,
PMID32246282,reaction_2,Acetate,kd,17.5,mM,± 0.5,
PMID32246282,reaction_3,Fluoride,kd,15.6,mM,± 1.9,
PMID32246282,reaction_4,Imidazole,kd,74.0,µM,± 2,
PMID32246282,reaction_4,Imidazole,kd,47.3,µM,± 5.1,
PMID32246282,reaction_4,Imidazole,kd,10.8,µM,± 2.6,
PMID32246282,reaction_4,Imidazole,kd,10.5,µM,± 2.4,
PMID32247733,reaction_1,5a,ic50,0.46,µM,,
PMID32247733,reaction_1,5b,ic50,0.78,µM,,
PMID32247733,reaction_1,5c,ic50,1.2,µM,,
PMID32247733,reaction_1,5d,ic50,0.48,µM,,
PMID32247733,reaction_1,5e,ic50,1.43,µM,,
PMID32247733,reaction_1,5f,ic50,0.57,µM,,
PMID32247733,reaction_1,5g,ic50,0.46,µM,,
PMID32247733,reaction_1,5h,ic50,0.55,µM,,
PMID32247733,reaction_1,9a,ic50,0.19,µM,,
PMID32247733,reaction_1,9b,ic50,0.12,µM,,
PMID32247733,reaction_1,9c,ic50,13.09,µM,,
PMID32247733,reaction_1,9d,ic50,1.79,µM,,
PMID32247733,reaction_1,8-fluorotryptanthrin,ic50,0.534,µM,,
PMID32247733,reaction_1,INCB024360,ic50,0.09,µM,,
PMID32247733,reaction_2,5a,ic50,0.06,µM,,
PMID32247733,reaction_2,5b,ic50,1.13,µM,,
PMID32247733,reaction_2,5c,ic50,0.99,µM,,
PMID32247733,reaction_2,5d,ic50,0.45,µM,,
PMID32247733,reaction_2,5e,ic50,2.87,µM,,
PMID32247733,reaction_2,5f,ic50,0.42,µM,,
PMID32247733,reaction_2,5g,ic50,0.3,µM,,
PMID32247733,reaction_2,5h,ic50,0.18,µM,,
PMID32247733,reaction_2,9a,ic50,0.37,µM,,
PMID32247733,reaction_2,9b,ic50,0.03,µM,,
PMID32247733,reaction_2,9c,ic50,6.02,µM,,
PMID32247733,reaction_2,9d,ic50,1.21,µM,,
PMID32247733,reaction_2,8-fluorotryptanthrin,ic50,0.937,µM,,
PMID32247733,reaction_2,LM10,ic50,11.58,µM,,
PMID32247733,reaction_3,5a,ic50,0.16,µM,,
PMID32247733,reaction_3,5b,ic50,0.08,µM,,
PMID32247733,reaction_3,5c,ic50,0.15,µM,,
PMID32247733,reaction_3,5d,ic50,3.1,µM,,
PMID32247733,reaction_3,5e,ic50,0.37,µM,,
PMID32247733,reaction_3,5f,ic50,1.84,µM,,
PMID32247733,reaction_3,5g,ic50,0.7,µM,,
PMID32247733,reaction_3,5h,ic50,3.76,µM,,
PMID32247733,reaction_3,9a,ic50,0.02,µM,,
PMID32247733,reaction_3,9b,ic50,0.06,µM,,
PMID32247733,reaction_3,9c,ic50,0.75,µM,,
PMID32247733,reaction_3,9d,ic50,0.23,µM,,
PMID32247733,reaction_3,INCB024360,ic50,0.02,µM,,
PMID32252458,reaction_1,Letrozole,ic50,0.024,µM,± 0.001,
PMID32252458,reaction_1,compound 5c,ic50,1.716,µM,± 0.042,
PMID32252458,reaction_1,compound 5e,ic50,0.032,µM,± 0.001,
PMID32252458,reaction_1,compound 5k,ic50,2.276,µM,± 0.106,
PMID32252458,reaction_1,compound 5m,ic50,1.562,µM,± 0.064,
PMID32275825,reaction_1,Compound 27,ic50,1260,nM,,
PMID32275825,reaction_1,Compound 19,ic50,1000,nM,,
PMID32275825,reaction_1,Compound 1,ic50,7900,nM,,
PMID32275825,reaction_1,Compound 31,ic50,200,nM,,
PMID32275825,reaction_2,DDD806905,ic50,38,nM,,
PMID32275825,reaction_2,Compound 27,ic50,100,µM,,
PMID32275825,reaction_2,Compound 31,ic50,2000,nM,,
PMID32283297,reaction_1,11b,ic50,15.06,µM,± 0.79,
PMID32283297,reaction_1,11e,ic50,13.68,µM,± 1.27,
PMID32283297,reaction_1,11g,ic50,1.55,µM,± 0.29,
PMID32283297,reaction_1,11h,ic50,4.08,µM,± 0.81,
PMID32283297,reaction_1,11i,ic50,5.92,µM,± 0.19,
PMID32283297,reaction_1,11j,ic50,7.13,µM,± 1.42,
PMID32283297,reaction_1,11k,ic50,12.26,µM,± 2.13,
PMID32283297,reaction_1,11l,ic50,18.27,µM,± 0.95,
PMID32283297,reaction_1,11o,ic50,29.99,µM,± 2.46,
PMID32283297,reaction_1,11p,ic50,13.16,µM,± 0.51,
PMID32283297,reaction_1,11v,ic50,17.37,µM,± 2.03,
PMID32283297,reaction_1,PCPA,ic50,27.5,µM,± 1.55,
PMID32283299,reaction_1,Polyoxin B,ic50,0.09,mM,,
PMID32283299,reaction_1,Compound 2b,ic50,0.09,mM,,
PMID32283299,reaction_1,Compound 2b,ki,0.12,mM,,
PMID32283299,reaction_1,Compound 2d,ic50,0.16,mM,,
PMID32283299,reaction_1,Compound 2s,ic50,0.19,mM,,
PMID32283299,reaction_1,Compound 2e,ic50,0.21,mM,,
PMID32283299,reaction_1,Compound 2a,ic50,0.38,mM,,
PMID32283299,reaction_1,Compound 2p,ic50,0.34,mM,,
PMID32283299,reaction_1,Compound 2h,ic50,0.35,mM,,
PMID32283299,reaction_1,Compound 2o,ic50,0.34,mM,,
PMID32283299,reaction_1,Compound 2f,ic50,0.32,mM,,
PMID32283299,reaction_1,Compound 2j,ic50,,mM,,
PMID32283299,reaction_1,Compound 2c,ic50,0.26,mM,,
PMID32296055,reaction_1,ATP,ic50,160,µM,,
PMID32296055,reaction_1,ATP,kd,194,µM,± 45,
PMID32303871,reaction_1,2-Hydroxybiphenyl,ic50,3.95,µM,± 0.24,
PMID32303871,reaction_1,Dibenzothiophene,ki,0.66,µM,± 0.010,
PMID32330361,reaction_1,"2,4-PDCA (1)",ic50,0.03,µM,± 0.01,
PMID32330361,reaction_1,"2,3-PDCA (5)",ic50,0.51,µM,± 0.05,
PMID32330361,reaction_1,"2,5-PDCA (6)",ic50,,µM,,
PMID32330361,reaction_1,"2,6-PDCA (7)",ic50,5.48,µM,± 0.75,
PMID32330361,reaction_1,Compound 8,ic50,38.8,µM,± 7.0,
PMID32330361,reaction_1,Compound 9,ic50,,µM,,
PMID32330361,reaction_1,Compound 10,ic50,,µM,,
PMID32330361,reaction_1,Compound 11,ic50,10.4,µM,± 1.8,
PMID32330361,reaction_1,Compound 12,ic50,16.1,µM,± 4.0,
PMID32330361,reaction_1,Compound 13,ic50,22.1,µM,± 1.5,
PMID32330361,reaction_1,Compound 14,ic50,12.9,µM,± 1.5,
PMID32330361,reaction_1,Compound 15,ic50,13.8,µM,± 0.2,
PMID32330361,reaction_1,Compound 16,ic50,16.1,µM,± 2.5,
PMID32330361,reaction_1,Compound 17,ic50,4.67,µM,± 0.29,
PMID32330361,reaction_1,Compound 18,ic50,0.58,µM,± 0.06,
PMID32330361,reaction_1,Compound 25,ic50,3.95,µM,± 0.33,
PMID32330361,reaction_1,Compound 26,ic50,7.66,µM,± 1.45,
PMID32330361,reaction_1,Compound 29,ic50,0.28,µM,± 0.11,
PMID32330361,reaction_1,Compound 30,ic50,1.22,µM,± 0.26,
PMID32330361,reaction_1,Compound 31,ic50,1.86,µM,± 1.06,
PMID32330361,reaction_1,Compound 32,ic50,3.67,µM,± 0.74,
PMID32330361,reaction_2,"2,4-PDCA (1)",ic50,5.29,µM,± 3.35,
PMID32330361,reaction_2,Compound 17,ic50,2.6,µM,± 1.20,
PMID32330361,reaction_2,Compound 18,ic50,,µM,,
PMID32330361,reaction_2,Compound 25,ic50,,µM,,
PMID32330361,reaction_2,Compound 26,ic50,,µM,,
PMID32330361,reaction_2,Compound 29,ic50,,µM,,
PMID32330361,reaction_2,Compound 30,ic50,,µM,,
PMID32330361,reaction_2,Compound 31,ic50,,µM,,
PMID32330361,reaction_2,Compound 32,ic50,,µM,,
PMID32330361,reaction_3,"2,4-PDCA (1)",ic50,5.03,µM,± 2.06,
PMID32330361,reaction_3,Compound 17,ic50,6.59,µM,± 0.05,
PMID32330361,reaction_3,Compound 18,ic50,43.0,µM,± 3.9,
PMID32330361,reaction_3,Compound 25,ic50,,µM,,
PMID32330361,reaction_3,Compound 26,ic50,,µM,,
PMID32330361,reaction_3,Compound 29,ic50,14.9,µM,± 1.5,
PMID32330361,reaction_3,Compound 30,ic50,46.1,µM,± 3.2,
PMID32330361,reaction_3,Compound 31,ic50,,µM,,
PMID32330361,reaction_3,Compound 32,ic50,26.1,µM,± 3.9,
PMID32330361,reaction_4,"2,4-PDCA (1)",ic50,0.18,µM,± 0.01,
PMID32330361,reaction_4,Compound 17,ic50,0.43,µM,± 0.05,
PMID32330361,reaction_4,Compound 18,ic50,2.45,µM,± 0.59,
PMID32330361,reaction_4,Compound 25,ic50,2.36,µM,± 0.13,
PMID32330361,reaction_4,Compound 26,ic50,5.71,µM,± 0.04,
PMID32330361,reaction_4,Compound 29,ic50,0.99,µM,± 0.31,
PMID32330361,reaction_4,Compound 30,ic50,3.69,µM,± 0.85,
PMID32330361,reaction_4,Compound 31,ic50,3.57,µM,± 0.38,
PMID32330361,reaction_4,Compound 32,ic50,4.14,µM,± 0.28,
PMID32330646,reaction_1,Allopurinol,ic50,3.81,µM,± 0.14,
PMID32330646,reaction_1,Baicalein,ic50,3.67,µM,± 0.16,
PMID32330646,reaction_1,Kaempferol,ic50,4.19,µM,± 0.23,
PMID32330646,reaction_1,Luteolin,ic50,0.85,µM,± 0.07,
PMID32330646,reaction_1,Quercetin,ic50,6.36,µM,± 0.39,
PMID32330646,reaction_1,Isorhamnetin,ki,6.52,µM,,
PMID32330646,reaction_1,Isorhamnetin,kis,34.12,µM,,
PMID32330646,reaction_1,Isorhamnetin,ic50,4.03,µM,± 0.73,
PMID32330646,reaction_1,Kaempferide,ki,56.59,µM,,
PMID32330646,reaction_1,Kaempferide,kis,228.88,µM,,
PMID32330646,reaction_1,Hesperitin,ki,16.91,µM,,
PMID32330646,reaction_1,Hesperitin,kis,93.67,µM,,
PMID32330646,reaction_1,Hesperitin,thermodynamics,,,,
PMID32330646,reaction_2,Isorhamnetin,ic50,2.09,µM,± 0.16,
PMID32334266,reaction_1,Compound 20,ic50,136.0,nM,± 16,
PMID32334266,reaction_1,Compound 21,ic50,180.0,nM,± 24,
PMID32334266,reaction_1,Compound 23,ic50,152.0,nM,± 22,
PMID32334266,reaction_1,Compound 57,ic50,208.0,nM,± 33,
PMID32334266,reaction_1,Compound 61,ic50,93.0,nM,± 8,
PMID32334266,reaction_1,Compound 63,ic50,296.0,nM,± 16,
PMID32334266,reaction_1,Compound 64,ic50,418.0,nM,± 45,
PMID32334266,reaction_1,Compound 65,ic50,173.0,nM,± 15,
PMID32334266,reaction_1,Compound 67,ic50,107.0,nM,± 17,
PMID32334266,reaction_1,Compound 68,ic50,2100.0,nM,± 440,
PMID32334266,reaction_2,Compound 20,ic50,50.4,nM,± 17.9,
PMID32334266,reaction_2,Compound 21,ic50,61.4,nM,± 12.7,
PMID32334266,reaction_2,Compound 23,ic50,38.6,nM,± 10.6,
PMID32334266,reaction_2,Compound 55,ic50,49.4,nM,± 22.1,
PMID32334266,reaction_2,Compound 57,ic50,82.5,nM,± 27.9,
PMID32334266,reaction_2,Compound 61,ic50,16.2,nM,± 7.4,
PMID32334266,reaction_2,Compound 63,ic50,96.6,nM,± 4.3,
PMID32334266,reaction_2,Compound 64,ic50,111.0,nM,± 21,
PMID32334266,reaction_2,Compound 65,ic50,20.5,nM,± 2.7,
PMID32334266,reaction_2,Compound 67,ic50,60.7,nM,± 16.5,
PMID32334266,reaction_2,Compound 68,ic50,154.0,nM,± 53,
PMID32334266,reaction_3,Sunitinib (6),ic50,4.89,µM,,
PMID32334266,reaction_4,Compound 61,ic50,391.0,nM,± 22,
PMID32334266,reaction_4,Compound 65,ic50,848.0,nM,± 41,
PMID32334266,reaction_4,Compound 66,ic50,1330.0,nM,± 140,
PMID32334266,reaction_4,Compound 70,ic50,2260.0,nM,± 110,
PMID32334266,reaction_4,Compound 67,ic50,3820.0,nM,± 530,
PMID32353513,reaction_1,NADPH,ic50,232.9,µM,,
PMID32353513,reaction_1,NADPH,kd,257.6,µM,,
PMID32353513,reaction_2,NADPH,ic50,342.8,µM,,
PMID32353513,reaction_3,NADPH,ic50,746.6,µM,,
