literature_id,reaction_id,reaction_equation,reaction_type_reversible,notes
PMID32033404,reaction_1,Microcrystalline cellulose + Ascorbic acid + O2 -> C1-oxidized cellooligosaccharides + C4-oxidized cellooligosaccharides + Dehydroascorbic acid + H2O,No,"The primary focus of the experiment was not to characterize the products or kinetics, but to study the enzyme's structural dynamics and stability during catalysis using HDX-MS. The presence of the cellulose substrate was found to protect the enzyme from auto-oxidative damage. The enzyme construct contains a catalytic domain and a carbohydrate-binding module (CBM)."
PMID32033404,reaction_2,NcLPMO9C + Ascorbic acid + O2 -> Oxidized NcLPMO9C + Fragmented NcLPMO9C + Dehydroascorbic acid + H2O,No,"This uncoupling reaction leads to auto-oxidative damage of the enzyme itself. The study identified various oxidative modifications, including single/double oxidation of Met, Trp, His, Tyr, and Pro residues; His-to-Asp breakdown; and oxidative peptide bond cleavages. These modifications were primarily located near the copper active site and their abundance increased over time."
PMID32034864,reaction_1,Geranylgeranyl diphosphate + 5 Isopentenyl diphosphate -> Solanesyl diphosphate + 5 Pyrophosphate,Not specified,Substrates used in assay were 25 µM Geranylgeranyl diphosphate (GGPP) and 50 µM Isopentenyl diphosphate (IPP).
PMID32034864,reaction_2,Geranylgeranyl diphosphate + 5 Isopentenyl diphosphate -> Solanesyl diphosphate + 5 Pyrophosphate,Not specified,Substrates used in assay were 25 µM Geranylgeranyl diphosphate (GGPP) and 50 µM Isopentenyl diphosphate (IPP).
PMID32034864,reaction_3,Geranylgeranyl diphosphate + 5 Isopentenyl diphosphate -> Solanesyl diphosphate + 5 Pyrophosphate,Not specified,Substrates used in assay were 25 µM Geranylgeranyl diphosphate (GGPP) and 50 µM Isopentenyl diphosphate (IPP).
PMID32034864,reaction_4,Farnesyl diphosphate + Isopentenyl diphosphate -> Geranylgeranyl diphosphate + Pyrophosphate,Not specified,Substrates used in assay were 25 µM Farnesyl diphosphate (FPP) and 50 µM Isopentenyl diphosphate (IPP).
PMID32034864,reaction_5,Farnesyl diphosphate + Isopentenyl diphosphate -> Geranylgeranyl diphosphate + Pyrophosphate,Not specified,Substrates used in assay were 25 µM Farnesyl diphosphate (FPP) and 50 µM Isopentenyl diphosphate (IPP).
PMID32034864,reaction_6,Dimethylallyl diphosphate + 2 Isopentenyl diphosphate -> Farnesyl diphosphate + 2 Pyrophosphate,Not specified,Substrates used in assay were 25 µM Dimethylallyl diphosphate (DMAPP) and 50 µM Isopentenyl diphosphate (IPP). Figure 4A caption lists AtFPS2 as tested.
PMID32034864,reaction_7,Phytoene + 2 Plastoquinone-9 -> ζ-Carotene + 2 Plastoquinol-9,Not specified,
PMID32034864,reaction_8,Protoporphyrinogen IX + O2 -> Protoporphyrin IX + H2O2,Not specified,
PMID32034864,reaction_9,4-Hydroxyphenylpyruvate + O2 -> Homogentisate + CO2,Not specified,
PMID32034864,reaction_10,Geranylgeranyl diphosphate + 5 Isopentenyl diphosphate -> Solanesyl diphosphate + 5 Pyrophosphate,Not specified,This enzyme was used for structural biology studies to understand the molecular basis of inhibition by aclonifen. One aclonifen molecule binds per dimer.
PMID32035229,reaction_1,β-carotene + O2 → 2 retinal,No,Study by Kowatz et al. (2013). The enzyme was reported to function as a monomer with a MW of 60 kDa.
PMID32035229,reaction_2,β-carotene + O2 → 2 retinal,No,Study by Harrison & Kopec (2013). The enzyme was purified to homogeneity.
PMID32035229,reaction_3,α-carotene + O2 → retinal + α-retinal,No,"Part of a substrate specificity study on purified human BCO1. The text states the enzyme was able to catalyze the 15,15' bond cleavage."
PMID32035229,reaction_4,β-cryptoxanthin + O2 → retinal + 3-hydroxy-retinal,No,"Part of a substrate specificity study on purified human BCO1. The text states the enzyme was able to catalyze the 15,15' bond cleavage."
PMID32035229,reaction_5,β-apo-8'-carotenal + O2 → retinal + C10-dialdehyde,No,Part of a substrate specificity study on purified human BCO1.
PMID32035229,reaction_6,β-apo-10'-carotenal + O2 → retinal + C7-dialdehyde,No,Part of a substrate specificity study on purified human BCO1.
PMID32035229,reaction_7,β-apo-12'-carotenal + O2 → retinal + C5-dialdehyde,No,Part of a substrate specificity study on purified human BCO1.
PMID32035229,reaction_8,β-apo-14'-carotenal + O2 → retinal + glyoxal,No,Part of a substrate specificity study on purified human BCO1.
PMID32035229,reaction_9,all-trans lycopene + O2 → 2 apo-15-lycopenal,No,Part of a substrate specificity study on purified human BCO1.
PMID32035229,reaction_10,β-apo-10'-carotenol + O2 → retinal + C7-hydroxy-aldehyde,No,"Study by Amengual et al. (2013). The text states the enzyme cleaved the 15,15' bond of this substrate."
PMID32035229,reaction_11,β-apo-12'-carotenoic acid + O2 → retinal + C5-carboxy-aldehyde,No,"Study by Amengual et al. (2013). The text states the enzyme cleaved the 15,15' bond of this substrate."
PMID32035229,reaction_12,β-cryptoxanthin + O2 → (3-hydroxy-β-apo-10'-carotenal + β-ionone) OR (β-apo-10'-carotenal + 3-hydroxy-β-ionone),No,"Cleavage at the 9',10' bond (producing 3-hydroxy-β-apo-10'-carotenal) has an order of magnitude higher catalytic efficiency than cleavage at the 9,10 bond. The enzyme shows strong substrate specificity for substrates with 3-hydroxy-β-ionone rings."
PMID32035229,reaction_13,zeaxanthin + O2 → 3-hydroxy-β-apo-10'-carotenal + 3-hydroxy-β-ionone,No,"Activity observed with purified chicken BCO2, and also reported for mouse and ferret BCO2. Zeaxanthin is a preferred substrate compared to β-carotene."
PMID32035229,reaction_14,lutein + O2 → (3-hydroxy-β-apo-10'-carotenal + 3-hydroxy-ε-ionone) OR (3-hydroxy-α-apo-10'-carotenal + 3-hydroxy-β-ionone),No,"Activity observed with purified chicken BCO2, and also reported for mouse and ferret BCO2. Lutein is a preferred substrate compared to β-carotene."
PMID32035229,reaction_15,β-carotene + O2 → β-apo-10'-carotenal + β-ionone,No,Activity observed with purified chicken BCO2. The text notes that 3-hydroxy substrates are much preferred to β-carotene.
PMID32035229,reaction_16,α-carotene + O2 → (β-apo-10'-carotenal + α-ionone) OR (α-apo-10'-carotenal + β-ionone),No,Activity observed with purified chicken BCO2.
PMID32035229,reaction_17,5-cis-lycopene + O2 → apo-10'-lycopenal + C10-dialdehyde,No,Activity observed with ferret BCO2. Products are inferred from the known cleavage site.
PMID32035229,reaction_18,13-cis-lycopene + O2 → apo-10'-lycopenal + C10-dialdehyde,No,Activity observed with ferret BCO2. Products are inferred from the known cleavage site.
PMID32035229,reaction_19,β-carotene + O2 → 2 retinal,No,"Study by Leung et al. investigated the effect of BCO1 SNPs (rs7501331 and rs12934922) on the conversion efficiency, finding they led to a stepwise reduction in newly formed vitamin A relative to β-carotene in the TRL fraction. A secondary analysis found SNPs rs11645428-AA, rs6420424-GG, and rs6564851-TT carriers had 1.5-2.5 fold more newly converted vitamin A."
PMID32036315,reaction_1,Catechol + O2 -> 2-hydroxymuconic semialdehyde,Not specified,"The enzyme is a homotetramer. The interaction with catechol was extensively studied using multi-spectroscopy, molecular docking, and MD simulations. The binding was found to be spontaneous (ΔG° = -9.79 kcal/mol at 298 K) and driven by hydrogen bonds and van der Waals forces."
PMID32036315,reaction_2,4-methylcatechol + O2 -> 2-hydroxy-5-methylmuconic semialdehyde,Not specified,
PMID32036315,reaction_3,3-methylcatechol + O2 -> 2-hydroxy-6-methylmuconic semialdehyde,Not specified,
PMID32036315,reaction_4,4-chlorocatechol + O2 -> 2-hydroxy-5-chloromuconic semialdehyde,Not specified,
PMID32036315,reaction_5,3-chlorocatechol + O2 -> 2-hydroxy-6-chloromuconic semialdehyde,Not specified,
PMID32039339,reaction_1,"D-glucose + sGDH(PQQ, Ca2+) -> D-glucono-1,5-lactone + sGDH(PQQH2, Ca2+)",Not specified,"This reaction represents the fast catalytic hydride transfer from glucose to the PQQ cofactor in the fully reconstituted, active enzyme (holoox)."
PMID32039339,reaction_2,"D-glucose + sGDH(PQQ) -> D-glucono-1,5-lactone + sGDH(PQQH2)",Not specified,This reaction characterizes the catalytic activity of the sGDH form reconstituted with PQQ but lacking the activating Ca2+ ion (holoXox).
PMID32039339,reaction_3,"sGDH(apo, Ca2+) + PQQ -> sGDH(PQQ, Ca2+)",Yes,"This reaction represents the fast pathway of enzyme reconstitution, where PQQ binds to the apoenzyme that has already bound a Ca2+ ion."
PMID32039339,reaction_4,sGDH(apo) + PQQ -> sGDH(PQQ),Yes,"This reaction is the initial step of the slow reconstitution pathway, where PQQ binds to the apoenzyme first."
PMID32039339,reaction_5,"sGDH(PQQ) + Ca2+ -> sGDH(PQQ, Ca2+)",Yes,"This reaction is the rate-limiting step of the slow reconstitution pathway, where Ca2+ binds to the sterically hindered site in holoXox."
PMID32039339,reaction_6,"sGDH(PQQH2) + Ca2+ -> sGDH(PQQH2, Ca2+)",Yes,Characterizes the binding of Ca2+ to the reduced form of the enzyme (holoXred) to form the fully reconstituted reduced enzyme (holored).
PMID32039339,reaction_7,"sGDH(apo) + Ca2+ -> sGDH(apo, Ca2+)",Yes,"This reaction describes the fast, equilibrated binding of Ca2+ to the apoenzyme, which precedes PQQ binding in the fast reconstitution pathway."
PMID32039535,reaction_1,6-phosphogluconate + NADP+ -> Ribulose 5-phosphate + NADPH + CO2,Not specified,"This information is extracted from a review article. The experimental data, including IC50 values for inhibitors, are compiled from primary research articles cited within the review. The primary enzyme discussed is human 6PGD in the context of cancer."
PMID32041093,reaction_1,Uridine diphosphate-glucose + Fructose-6-phosphate -> Sucrose-6-phosphate + UDP,Not specified,"Activity was measured in desalted crude extracts from leaves of non-transgenic (NT) and transgenic lines (SP1, SP3, SP9). The assay measures the formation of sucrose-6-phosphate. The text states the EC number as 2.4.2.14, which is likely a typo for the correct EC 2.4.1.14."
PMID32041093,reaction_2,Sucrose + H2O -> Glucose + Fructose,No,SAI activity was measured in leaf extracts from sugarcane lines overexpressing SPS. The increase in SAI activity is an indirect effect of SPS overexpression. The assay measures the production of reducing sugars.
PMID32041093,reaction_3,Sucrose + UDP -> Uridine diphosphate-glucose + Fructose,Yes,SuSy activity was measured in the cleavage direction in leaf extracts from sugarcane lines overexpressing SPS. The activity was not affected by SPS overexpression. The assay measures the production of reducing sugars (fructose).
PMID32042062,reaction_1,SASE peptide + Acetyl-CoA -> Acetyl-SASE peptide + CoA,Not specified,"This reaction was used to assess the inhibitory effects of hNAA50 and HYPK on hNatA activity. Mutants of the modulator hNAA50 (E7A, D53A, E7A/D53A) were tested and found to restore 12-17% of hNatA activity relative to the inhibited state, indicating these residues are involved in the inhibitory crosstalk."
PMID32042062,reaction_2,MLGP peptide + Acetyl-CoA -> Acetyl-MLGP peptide + CoA,Not specified,
PMID32042062,reaction_3,MLGP peptide + Acetyl-CoA -> Acetyl-MLGP peptide + CoA,Not specified,"hNatE showed a ~7.7-fold increase in catalytic efficiency compared to hNAA50 alone, mainly due to an ~8.6-fold decrease in Km."
PMID32042062,reaction_4,MLGP peptide + Acetyl-CoA -> Acetyl-MLGP peptide + CoA,Not specified,The addition of HYPK to hNatE resulted in a ~2.9-fold decrease in catalytic efficiency compared to hNatE.
PMID32042062,reaction_5,SESS24 peptide + Acetyl-CoA -> Acetyl-SESS24 peptide + CoA,Not specified,"Activity of immunoprecipitated hNatA complexes from HeLa cells was tested. The mutations in the NAA15 auxiliary subunit affect binding of NAA50 and HYPK, which in turn modulates the catalytic activity of the NAA10 subunit."
PMID32042199,reaction_1,8-amino-7-oxononanoate + CO2 + BioU -> DAN-carbamic acid + BioU-Lys124 semialdehyde,No,"BioU is a single-turnover suicide enzyme that functionally replaces BioA in some cyanobacteria and haloarchaea. It uses its own Lys124 residue as an internal amino donor. The reaction proceeds via a covalently bound BioU-DAN conjugate intermediate. The overall process involves NAD(P)H-dependent reductive amination to form the conjugate, carboxylation via a His233-Asp235 dyad, and NAD(P)+-dependent oxidative cleavage to release the product, leaving the enzyme inactive (BioU-Lys124 semialdehyde)."
PMID32042199,reaction_2,DAN-carbamic acid + ATP -> Dethiobiotin + ADP + Pi,Not specified,This reaction was used as part of a coupled assay to detect the unstable product of the BioU reaction. The activity of BioD from Synechocystis sp. PCC 6803 (SynBioD) was also confirmed in a similar assay.
PMID32044025,reaction_1,3-cyanopyridine + H2O + Acceptor -> 6-hydroxy-3-cyanopyridine + Reduced Acceptor,Not specified,"The study focuses on optimizing heterologous expression of the multi-subunit NDHase. The final engineered strain (ET) combines a host evolutionarily similar to the gene source, a T7-like expression system (MmP1), and co-expression of the GroES-EL chaperone. Initial expression in E. coli BL21(DE3) resulted in inactive inclusion bodies. The half-life of the enzyme was determined to be 32h at 30°C, 5.6h at 40°C, and 2h at 50°C."
PMID32044030,reaction_1,"Progesterone + NADPH + H+ -> 5β-pregnane-3,20-dione + NADP+",Not specified,"Wild-type enzyme is strictly NADPH-dependent. The chemical structure of the product, 5β-pregnane-3,20-dione, was confirmed by MS, 1H NMR, and 13C NMR."
PMID32044030,reaction_2,"4-androstene-3,17-dione + NADPH + H+ -> 5β-androstane-3,17-dione + NADP+",Not specified,"Substrate reduction by wild-type CrSt5βR1 was confirmed, demonstrating broad substrate range. No quantitative data provided."
PMID32044030,reaction_3,Testosterone + NADPH + H+ -> 5β-dihydrotestosterone + NADP+,Not specified,"Substrate reduction by wild-type CrSt5βR1 was confirmed, demonstrating broad substrate range. No quantitative data provided."
PMID32044030,reaction_4,(20S)-21-hydroxy-20-methylpregn-4-en-3-one + NADPH + H+ -> 5β-(20S)-21-hydroxy-20-methylpregnan-3-one + NADP+,Not specified,"Substrate reduction by wild-type CrSt5βR1 was confirmed, demonstrating broad substrate range. No quantitative data provided."
PMID32044030,reaction_5,2-cyclohexen-1-one + NADPH + H+ -> cyclohexanone + NADP+,Not specified,Substrate reduction by wild-type CrSt5βR1 was confirmed. This substrate was used for mutant screening due to higher efficiency compared to progesterone.
PMID32044030,reaction_6,ethyl acrylate + NADPH + H+ -> ethyl propanoate + NADP+,Not specified,"Substrate reduction by wild-type CrSt5βR1 was confirmed, demonstrating broad substrate range. No quantitative data provided."
PMID32044030,reaction_7,"Progesterone + NAD(P)H + H+ -> 5β-pregnane-3,20-dione + NAD(P)+",Not specified,
PMID32044030,reaction_8,"Progesterone + NAD(P)H + H+ -> 5β-pregnane-3,20-dione + NAD(P)+",Not specified,
PMID32044030,reaction_9,Progesterone + NADPH + H+ -> No reaction,Not specified,"The enzyme was expressed and purified, but did not show any progesterone reduction activity under the tested conditions."
PMID32044699,reaction_1,Amylopectin -> More branched amylopectin,Not specified,The study focused on improving the thermostability of GtGBE by rationally designing and introducing salt bridges. The wild-type enzyme has a melting temperature (Tm) of approximately 69.5 °C. The half-time of the wild-type at 60 °C was used as a baseline for comparison with mutants.
PMID32050067,reaction_1,butyryl-ACP + S-adenosyl-L-methionine -> N-butanoyl-L-homoserine lactone + holo-ACP + S-methylthioadenosine,Not specified,This is the only reaction for which detailed in vitro kinetic data was provided. The enzyme was also shown to be active with longer chain acyl-ACPs in vivo. Heat-inactivated AhyI showed no activity.
PMID32050067,reaction_2,hexanoyl-ACP + S-adenosyl-L-methionine -> N-hexanoyl-L-homoserine lactone + holo-ACP + S-methylthioadenosine,Not specified,"Product was identified from in vivo expression in E. coli. In the native A. hydrophila HX-3, C6-HSL was the second most abundant AHL (7.8% relative abundance). In recombinant E. coli, its relative abundance was also 7.8%."
PMID32050067,reaction_3,octanoyl-ACP + S-adenosyl-L-methionine -> N-octanoyl-L-homoserine lactone + holo-ACP + S-methylthioadenosine,Not specified,"Product was identified from in vivo expression in E. coli, demonstrating the enzyme's broad substrate specificity for medium-chain acyl-ACPs."
PMID32050067,reaction_4,decanoyl-ACP + S-adenosyl-L-methionine -> N-decanoyl-L-homoserine lactone + holo-ACP + S-methylthioadenosine,Not specified,"Product was identified from in vivo expression in E. coli, demonstrating the enzyme's broad substrate specificity for long-chain acyl-ACPs."
PMID32050067,reaction_5,dodecanoyl-ACP + S-adenosyl-L-methionine -> N-dodecanoyl-L-homoserine lactone + holo-ACP + S-methylthioadenosine,Not specified,"Product was identified from in vivo expression in E. coli, demonstrating the enzyme's broad substrate specificity for long-chain acyl-ACPs."
PMID32050067,reaction_6,tetradecanoyl-ACP + S-adenosyl-L-methionine -> N-tetradecanoyl-L-homoserine lactone + holo-ACP + S-methylthioadenosine,Not specified,"Product was identified from in vivo expression in E. coli, demonstrating the enzyme's broad substrate specificity for long-chain acyl-ACPs."
PMID32051560,reaction_1,N6-methyladenine-DNA (bulged) + 2-oxoglutarate + O2 -> Adenine-DNA (bulged) + Succinate + CO2 + H2O,No,"Bulged DNA is a preferred substrate for ALKBH1, showing higher catalytic efficiency (kcat) than ssDNA. The enzyme shows strong preference for locally unpaired DNA structures. N6-hydroxymethyladenine (N6-hmA) was detected as a reaction intermediate which spontaneously decomposes to adenine. Assays were performed with N-terminally His-tagged full-length protein."
PMID32051560,reaction_2,N6-methyladenine-DNA (ssDNA) + 2-oxoglutarate + O2 -> Adenine-DNA (ssDNA) + Succinate + CO2 + H2O,No,"ssDNA is a less optimal substrate compared to bulged or bubbled DNA, with lower catalytic turnover (kcat) and incomplete conversion (~50%). Assays were performed with N-terminally His-tagged full-length protein."
PMID32051560,reaction_3,N6-methyladenosine-RNA (hairpin) + 2-oxoglutarate + O2 -> Adenosine-RNA (hairpin) + Succinate + CO2 + H2O,No,"ALKBH1 can demethylate N6-methyladenosine (m6rA) in various RNA structures that have a locally unpairing feature, such as RNA hairpins, RNA-RNA bubbles, and RNA-DNA hybrid bubbles. The activity was confirmed by LC-MS/MS but not quantified kinetically."
PMID32051560,reaction_4,1-methyladenosine-RNA (tRNA stem loop) + 2-oxoglutarate + O2 -> Adenosine-RNA (tRNA stem loop) + Succinate + CO2 + H2O,No,"1-methyladenosine (m1rA) in a tRNA stem loop context was confirmed as a substrate for mouse ALKBH1, demethylated to various degrees. Activity towards m1rA in other contexts (bubbled RNA, DNA) was low (<20% demethylation). An α1-truncated human ALKBH1 showed no activity towards this substrate."
PMID32051560,reaction_5,5-methylcytidine-RNA (tRNA anticodon loop) + 2-oxoglutarate + O2 -> Cytidine-RNA (tRNA anticodon loop) + Succinate + CO2 + H2O,No,"5-methylcytidine (m5rC) in a tRNA anticodon loop context was confirmed as a substrate for mouse ALKBH1, demethylated to various degrees. The activity was confirmed by LC-MS/MS but not quantified kinetically."
PMID32051772,reaction_1,Nitrite + reduced Phenazine methylsulfate + 2H+ -> Nitric oxide + oxidized Phenazine methylsulfate + H2O,Not specified,The enzyme shows Michaelis-Menten behaviour and does not show the substrate inhibition seen in the core protein. The haem maturation plasmid pEC86 was co-expressed.
PMID32051772,reaction_2,Nitrite + reduced Phenazine methylsulfate + 2H+ -> Nitric oxide + oxidized Phenazine methylsulfate + H2O,Not specified,This deconstructed core protein shows substrate inhibition by nitrite at concentrations beyond 10 mM.
PMID32051772,reaction_3,Nitrite + reduced Phenazine methylsulfate + 2H+ -> Nitric oxide + oxidized Phenazine methylsulfate + H2O,Not specified,This natural 2-domain CuNiR was used as a benchmark for comparison.
PMID32051772,reaction_4,RpNiR[Haem(red)-T1Cu(ox)] -> RpNiR[Haem(ox)-T1Cu(red)],Not specified,The slow rate indicates that haem to T1Cu electron transfer is limited by conformational sampling of the tethered haem domain.
PMID32051772,reaction_5,Axcyt c551(red) + AxNiR[T1Cu(ox)] -> Axcyt c551(ox) + AxNiR[T1Cu(red)],Not specified,
PMID32051772,reaction_6,RpNiR cyt c(red) + RpNiR-core[T1Cu(ox)] -> RpNiR cyt c(ox) + RpNiR-core[T1Cu(red)],Not specified,
PMID32051772,reaction_7,RpNiR-core[T1Cu(red)-T2Cu(ox)] + Nitrite -> RpNiR-core[T1Cu(ox)-T2Cu(red)-Nitrite],Not specified,Electron transfer from T1Cu to T2Cu did not occur in the absence of nitrite. The slower kinetic phase is likely rate-limiting in steady-state turnover of the core protein.
PMID32054270,reaction_1,D-xylose[extracellular] -> D-xylose[intracellular],Not specified,Xltr1p is a facilitator (uniporter)-type transporter. The D-xylose transport capacity of Xltr1p was 8.44 times greater than that of the endogenous yeast transporter Gal2p.
PMID32054270,reaction_2,D-glucose[extracellular] -> D-glucose[intracellular],Not specified,More than 40% of the tested alanine-scanning mutants had no obvious change in glucose transport capacity.
PMID32054270,reaction_3,D-mannose[extracellular] -> D-mannose[intracellular],Not specified,Transport activity was confirmed by the ability of the engineered yeast strain FJTR3_Xltr1 to grow on mannose as the sole carbon source.
PMID32054270,reaction_4,D-fructose[extracellular] -> D-fructose[intracellular],Not specified,Transport activity was confirmed by the ability of the engineered yeast strain FJTR3_Xltr1 to grow on fructose as the sole carbon source.
PMID32054270,reaction_5,D-xylose[extracellular] -> D-xylose[intracellular],Not specified,Used as a reference transporter. Gal2p is a facilitator-type transporter. Its D-xylose transport capacity was 8.44 times lower than that of Xltr1p.
PMID32054270,reaction_6,D-xylose[extracellular] -> D-xylose[intracellular],Not specified,No D-xylose transport activity was detected. No intracellular D-xylose was found and the strain could not grow on D-xylose.
PMID32054270,reaction_7,D-xylose[extracellular] -> D-xylose[intracellular],Not specified,No D-xylose transport activity was detected. No intracellular D-xylose was found and the strain could not grow on D-xylose.
PMID32054270,reaction_8,D-glucose[extracellular] -> D-glucose[intracellular],Not specified,"A weak capacity to transport glucose was observed, allowing for slow growth on glucose as the sole carbon source."
PMID32054839,reaction_1,"p-coumaroyl-CoA + 3 malonyl-CoA -> 2′,4,4′,6′-tetrahydroxychalcone + p-coumaroyltriacetic acid lactone + bis-noryangonin + CoASH + CO2",Not specified,"The enzyme is promiscuous, producing THC (measured as its non-enzymatic isomer naringenin), CTAL, and a minor amount of BNY. The E value, a measure of product specificity for chalconoids, is +18% in the absence of AmCHIL. In the presence of 1 µM AmCHIL, the E value increases to +80%, and total polyketide production is 116% of the control. Kinetic parameters for THC production in the presence of AmCHIL are: kcat = 76.3 ± 6.0 min⁻¹, Km(p-coumaroyl-CoA) = 49.7 ± 6.4 µM; kcat = 35.4 ± 1.4 min⁻¹, K'(malonyl-CoA) = 12.2 ± 1.6 µM, Hill coeff = 1.73 ± 0.31."
PMID32054839,reaction_2,"p-coumaroyl-CoA + 3 malonyl-CoA -> 2′,4,4′,6′-tetrahydroxychalcone + p-coumaroyltriacetic acid lactone + bis-noryangonin + CoASH + CO2",Not specified,"The enzyme is promiscuous. The E value is -67% in the absence of PpCHIL. In the presence of 1 µM PpCHIL, the E value increases to +90%, and total polyketide production is 108% of the control. Kinetic parameters for THC production in the presence of PpCHIL are: kcat = 28.5 ± 0.6 min⁻¹ (for p-coumaroyl-CoA variation, Km not determined); kcat = 31.5 ± 0.6 min⁻¹, K'(malonyl-CoA) = 9.14 ± 0.36 µM, Hill coeff = 2.96 ± 0.32."
PMID32054839,reaction_3,"p-coumaroyl-CoA + 3 malonyl-CoA -> 2′,4,4′,6′-tetrahydroxychalcone + p-coumaroyltriacetic acid lactone + bis-noryangonin + CoASH + CO2",Not specified,"The enzyme is promiscuous. The E value is +33% in the absence of SmCHIL. In the presence of 1 µM SmCHIL, the E value increases to +88%, and total polyketide production is 112% of the control. Kinetic parameters for THC production in the presence of SmCHIL are: kcat = 7.54 ± 0.14 min⁻¹, Km(p-coumaroyl-CoA) = 2.58 ± 0.16 µM; kcat = 23.5 ± 0.4 min⁻¹, K'(malonyl-CoA) = 3.86 ± 0.14 µM, Hill coeff = 2.11 ± 0.14."
