literature_id,reaction_id,assay_type,assay_details,solvent_buffer,ph,ph_details,temperature_celsius,expression_host,expression_vector,expression_induction
PMID32034864,reaction_5,in vitro,Biochemical activity assay measuring pyrophosphate release via malachite green method.,"50 mM MES, 50 mM CAPS, 100 mM Tris, 10 mM MgCl2, 5 mU/µl inorganic pyrophosphatase",7.5,,30.0,"Escherichia coli BL 21 cells (DE3, Agilent)",pET300/NT-DEST,"Auto-induction media, 4h at 37°C followed by 16h at 21°C."
PMID32034864,reaction_6,in vitro,Biochemical activity assay measuring pyrophosphate release via malachite green method.,"50 mM MES, 50 mM CAPS, 100 mM Tris, 10 mM MgCl2, 10% glycerol, 5 mU/µl inorganic pyrophosphatase",7.5,,30.0,"Escherichia coli BL 21 cells (DE3, Agilent)",pET300/NT-DEST,"Auto-induction media, 4h at 37°C followed by 16h at 21°C."
PMID32034864,reaction_7,in vitro,PDS assay performed as described by Koschmieder et al. (2017).,,,,,,,
PMID32034864,reaction_8,in vitro,Biochemical assay modified according to Sherman (1991).,"1.5 M bis-Tris, 2.5 mM EDTA, 0.01% Tween 80",7.5,,,,,
PMID32034864,reaction_9,in vitro,HPPD activity assay according to Busch et al. (2009).,,,,,,,
PMID32034864,reaction_10,in vitro,Co-crystallization with inhibitor to solve protein-inhibitor complex structure.,Crystallization buffer: 29.9 % PEG 1500,,,18.0,Escherichia coli BL21 (DE3),pET21a,"1 mM IPTG at OD 0.8, cultured overnight at 18°C."
PMID32035229,reaction_1,in vitro,Assay with expressed enzyme,,,,,Sf9 insect cells,,
PMID32035229,reaction_2,in vitro,Assay with purified enzyme,,,,,Escherichia coli,,
PMID32035229,reaction_3,in vitro,Substrate specificity study,,,,,Escherichia coli,,
PMID32035229,reaction_4,in vitro,Substrate specificity study,,,,,Escherichia coli,,
PMID32035229,reaction_5,in vitro,Substrate specificity study,,,,,Escherichia coli,,
PMID32035229,reaction_6,in vitro,Substrate specificity study,,,,,Escherichia coli,,
PMID32035229,reaction_7,in vitro,Substrate specificity study,,,,,Escherichia coli,,
PMID32035229,reaction_8,in vitro,Substrate specificity study,,,,,Escherichia coli,,
PMID32035229,reaction_9,in vitro,Substrate specificity study,,,,,Escherichia coli,,
PMID32035229,reaction_10,in vitro,Substrate specificity study,,,,,Sf9 insect cells,,
PMID32035229,reaction_11,in vitro,Substrate specificity study,,,,,Sf9 insect cells,,
PMID32035229,reaction_12,in vitro,,,,,,,,
PMID32035229,reaction_13,in vitro,,,,,,,,
PMID32035229,reaction_14,in vitro,,,,,,,,
PMID32035229,reaction_15,in vitro,,,,,,,,
PMID32035229,reaction_16,in vitro,,,,,,,,
PMID32035229,reaction_17,in vitro,,,,,,,,
PMID32035229,reaction_18,in vitro,,,,,,,,
PMID32035229,reaction_19,in vivo,Postprandial study in 28 healthy women. Measured newly formed retinyl esters in the triglyceride-rich lipoprotein (TRL) fraction 3 hours after a 120 mg dose of β-carotene.,,,,,,,
PMID32036315,reaction_1,in vitro,Spectrophotometric assay measuring formation of 2-hydroxymuconic semialdehyde at 375 nm.,PBS,7.5,,30.0,E. coli BL21 (DE3),pET28a (+),0.5 mM IPTG at 20°C overnight
PMID32036315,reaction_2,in vitro,Spectrophotometric assay measuring formation of ring-cleavage product at 382 nm.,PBS,7.5,,30.0,E. coli BL21 (DE3),,
PMID32036315,reaction_3,in vitro,Spectrophotometric assay measuring formation of ring-cleavage product at 388 nm.,PBS,7.5,,30.0,E. coli BL21 (DE3),,
PMID32036315,reaction_4,in vitro,Spectrophotometric assay measuring formation of ring-cleavage product at 379 nm.,PBS,7.5,,30.0,E. coli BL21 (DE3),,
PMID32036315,reaction_5,in vitro,Spectrophotometric assay measuring formation of ring-cleavage product at 290 nm.,PBS,7.5,,30.0,E. coli BL21 (DE3),,
PMID32039339,reaction_1,in vitro,Stopped-flow kinetics under single-turnover conditions to measure the reductive half-reaction.,50 mM Tris buffer with 3 mM CaCl2,7.5,,10.0,Escherichia coli,,
PMID32039339,reaction_2,in vitro,Stopped-flow kinetics to measure the reduction of the Ca2+-free enzyme form (holoXox).,50 mM Tris buffer with excess EDTA,7.5,,10.0,Escherichia coli,,
PMID32039339,reaction_3,in vitro,Stopped-flow kinetics (absorbance and fluorescence quenching) to measure the fast reconstitution pathway.,50 mM Tris buffer with 3 mM CaCl2,7.5,,10.0,Escherichia coli,,
PMID32039339,reaction_4,in vitro,Stopped-flow tryptophan fluorescence quenching to measure PQQ binding in the absence of Ca2+.,50 mM Tris buffer with excess EDTA,7.5,,10.0,Escherichia coli,,
PMID32039339,reaction_5,in vitro,Stopped-flow kinetics to measure Ca2+ binding to the holoXox form.,50 mM Tris buffer,7.5,,10.0,Escherichia coli,,
PMID32039339,reaction_6,in vitro,"Stopped-flow kinetics to measure the incorporation rate of Ca2+ into the reduced, Ca2+-free enzyme (holoXred).",50 mM Tris buffer,7.5,,10.0,Escherichia coli,,
PMID32039339,reaction_7,in vitro,Inferred from analysis of kinetic amplitudes in stopped-flow experiments as a function of Ca2+ concentration.,50 mM Tris buffer,7.5,,10.0,Escherichia coli,,
PMID32039535,reaction_1,in vitro,Enzymatic assay-based screening for inhibitors.,,,,,,,
PMID32041093,reaction_1,in vitro,Enzyme activity assay on desalted crude leaf extract.,"30 mM MOPS-NaOH (pH 7.5), 10 mM MgCl2, 15 mM UDP-glucose, 10 mM fructose-6-phosphate (F6P), and 10 mM glucose-6-phosphate (G6P)",7.5,,30.0,Saccharum officinarum,pBI121-SoSPS1,Constitutive expression under CaMV 35S promoter
PMID32041093,reaction_2,in vitro,Enzyme activity assay on desalted crude leaf extract.,1 M sodium acetate buffer (pH 4.5) and 0.25 M sucrose,4.5,,37.0,Saccharum officinarum,,
PMID32041093,reaction_3,in vitro,Enzyme activity assay on desalted crude leaf extract.,"20 mM Tris-HCl (pH 7.0), 100 mM sucrose, and 4 mM UDP",7.0,,37.0,Saccharum officinarum,,
PMID32042062,reaction_1,in vitro,Acetyltransferase activity assay to test modulation by hNAA50 and HYPK.,"75 mM HEPES, pH 7.0, 120 mM NaCl, and 1 mM DTT",7.0,,25.0,sf9 cells,,
PMID32042062,reaction_2,in vitro,Kinetic assay,"75 mM HEPES, pH 7.0, 120 mM NaCl, and 1 mM DTT",7.0,,25.0,BL21 (DE3) Escherichia coli cells,,
PMID32042062,reaction_3,in vitro,Kinetic assay,"75 mM HEPES, pH 7.0, 120 mM NaCl, and 1 mM DTT",7.0,,25.0,sf9 cells (for hNatA) and E. coli (for hNAA50),,
PMID32042062,reaction_4,in vitro,Kinetic assay,"75 mM HEPES, pH 7.0, 120 mM NaCl, and 1 mM DTT",7.0,,25.0,sf9 cells (for hNatA/HYPK) and E. coli (for hNAA50),,
PMID32042062,reaction_5,in vitro,[14C]-Ac-CoA-based Nt-acetylation assay using immunoprecipitated enzyme from HeLa cells.,"50 mM Tris-HCl pH 8.5, 1 mM EDTA, 10% Glycerol",8.5,,37.0,HeLa cells,pcDNA3.1/NAA15-WT-V5,Immunoprecipitated using V5-tag mouse monoclonal antibody.
PMID32042199,reaction_1,in vitro,Multi-step reaction characterized by LC-HR-MS of enzyme modification and by coupled assays with BioD.,50 mM HEPES-NaOH,8.0,,30.0,E. coli BL21-CodonPlus(DE3)-RIL,pHIS8,0.1 mM IPTG at 25°C overnight
PMID32042199,reaction_2,in vitro,"Activity was confirmed in a coupled assay where the substrate, DAN-carbamic acid, was generated in situ by BioU.",50 mM HEPES-NaOH,8.0,,30.0,E. coli BL21-CodonPlus(DE3)-RIL,pET26b(+),Recombinant EcBioD was purified from the strain in the same manner as described for BioU.
PMID32044025,reaction_1,in vivo,Whole-cell biocatalysis using recombinant C. testosteroni CNB-2. Activity was tested in a 1 ml reaction mixture containing 0.02 g cells (wet weight).,20 mM phosphate-buffered saline (PBS),7.0,,30.0,Comamonas testosteroni CNB-2,pVLT33MmP1-JA (for NDHase) and pBBR1 MCS-5_SL (for GroES-EL chaperone),"Induction at OD600=0.1, maintained for 14h at 30°C."
PMID32044030,reaction_1,in vitro,Spectrophotometric assay monitoring NAD(P)H conversion at 340 nm for kinetics. Bioconversion products analyzed by GC and TLC.,100 mM Tris-HCl buffer,6.0,,40.0,Escherichia coli BL21(DE3),pET26b(+),"1 mM IPTG, 22 °C, 20 hr"
PMID32044030,reaction_2,in vitro,,100 mM Tris-HCl buffer,6.0,,40.0,,,
PMID32044030,reaction_3,in vitro,,100 mM Tris-HCl buffer,6.0,,40.0,,,
PMID32044030,reaction_4,in vitro,,100 mM Tris-HCl buffer,6.0,,40.0,,,
PMID32044030,reaction_5,in vitro,,100 mM Tris-HCl buffer,6.0,,40.0,,,
PMID32044030,reaction_6,in vitro,,100 mM Tris-HCl buffer,6.0,,40.0,,,
PMID32044030,reaction_7,in vitro,,100 mM Tris-HCl buffer,6.0,,40.0,Escherichia coli BL21(DE3),pET26b(+),
PMID32044030,reaction_8,in vitro,,100 mM Tris-HCl buffer,6.0,,40.0,Escherichia coli BL21(DE3),pET26b(+),
PMID32044030,reaction_9,in vitro,,100 mM Tris-HCl buffer,6.0,,40.0,,,
PMID32044699,reaction_1,in vitro,Enzyme activity and thermostability assays on purified protein.,10 mM Tris-HCl buffer,7.5,,60.0,Escherichia coli BL21 (DE3),pET-20b(+),0.1 mM IPTG at 20 °C for 16 h
PMID32050067,reaction_1,in vitro,Product formation confirmed by UPLC-MS/MS from a reaction mixture at 37°C. Kinetic parameters were measured separately using a DCPIP microplate assay.,"For synthesis: 25 mM Tris-HCl (pH 7.5), 1 mM DTT, 2.5 mM MgCl2. For kinetics: 100 mM HEPES (pH 7.5).",7.5,,37.0,Escherichia coli Rosetta (DE3),pET-30a(+),"0.1 mM IPTG, 18 °C, 18 h"
PMID32050067,reaction_2,in vivo,Product identified by UPLC-MS/MS from culture supernatant of recombinant E. coli Rosetta (DE3) expressing AhyI. The acyl-ACP substrate was provided by the host's metabolism.,Luria-Bertani (LB) medium,,,18.0,Escherichia coli Rosetta (DE3),pET-30a(+),"0.1 mM IPTG, 18 °C, 18 h"
PMID32050067,reaction_3,in vivo,Product identified by UPLC-MS/MS from culture supernatant of recombinant E. coli Rosetta (DE3) expressing AhyI. The acyl-ACP substrate was provided by the host's metabolism.,Luria-Bertani (LB) medium,,,18.0,Escherichia coli Rosetta (DE3),pET-30a(+),"0.1 mM IPTG, 18 °C, 18 h"
PMID32050067,reaction_4,in vivo,Product identified by UPLC-MS/MS from culture supernatant of recombinant E. coli Rosetta (DE3) expressing AhyI. The acyl-ACP substrate was provided by the host's metabolism.,Luria-Bertani (LB) medium,,,18.0,Escherichia coli Rosetta (DE3),pET-30a(+),"0.1 mM IPTG, 18 °C, 18 h"
PMID32050067,reaction_5,in vivo,Product identified by UPLC-MS/MS from culture supernatant of recombinant E. coli Rosetta (DE3) expressing AhyI. The acyl-ACP substrate was provided by the host's metabolism.,Luria-Bertani (LB) medium,,,18.0,Escherichia coli Rosetta (DE3),pET-30a(+),"0.1 mM IPTG, 18 °C, 18 h"
PMID32050067,reaction_6,in vivo,Product identified by UPLC-MS/MS from culture supernatant of recombinant E. coli Rosetta (DE3) expressing AhyI. The acyl-ACP substrate was provided by the host's metabolism.,Luria-Bertani (LB) medium,,,18.0,Escherichia coli Rosetta (DE3),pET-30a(+),"0.1 mM IPTG, 18 °C, 18 h"
PMID32051560,reaction_1,in vitro,in vitro enzyme assay with UHPLC-Orbitrap MS detection for kinetics,"50 mM KCl, 1 mM MgCl2, 50 mM Tris-HCl, 2 mM ascorbic acid, 1 mM α-ketoglutarate, 100 μM (NH4)2Fe(SO4)2·6H2O",8.0,,37.0,Escherichia coli BL21 (DE3),pRSFDuet-1,"0.2 mM IPTG, overnight induction"
PMID32051560,reaction_2,in vitro,in vitro enzyme assay with UHPLC-Orbitrap MS detection for kinetics,"50 mM KCl, 1 mM MgCl2, 50 mM Tris-HCl, 2 mM ascorbic acid, 1 mM α-ketoglutarate, 100 μM (NH4)2Fe(SO4)2·6H2O",8.0,,37.0,Escherichia coli BL21 (DE3),pRSFDuet-1,"0.2 mM IPTG, overnight induction"
PMID32051560,reaction_3,in vitro,in vitro enzyme assay with LC-MS/MS detection of digested nucleosides,"50 mM KCl, 1 mM MgCl2, 50 mM Tris-HCl, 2 mM ascorbic acid, 1 mM α-ketoglutarate, 100 μM (NH4)2Fe(SO4)2·6H2O",8.0,,37.0,Escherichia coli BL21 (DE3),pRSFDuet-1,"0.2 mM IPTG, overnight induction"
PMID32051560,reaction_4,in vitro,in vitro enzyme assay with LC-MS/MS detection of digested nucleosides,"50 mM KCl, 1 mM MgCl2, 50 mM Tris-HCl, 2 mM ascorbic acid, 1 mM α-ketoglutarate, 100 μM (NH4)2Fe(SO4)2·6H2O",8.0,,37.0,Escherichia coli BL21 (DE3),pRSFDuet-1,"0.2 mM IPTG, overnight induction"
PMID32051560,reaction_5,in vitro,in vitro enzyme assay with LC-MS/MS detection of digested nucleosides,"50 mM KCl, 1 mM MgCl2, 50 mM Tris-HCl, 2 mM ascorbic acid, 1 mM α-ketoglutarate, 100 μM (NH4)2Fe(SO4)2·6H2O",8.0,,37.0,Escherichia coli BL21 (DE3),pRSFDuet-1,"0.2 mM IPTG, overnight induction"
PMID32051772,reaction_1,in vitro,Steady-state activity measurements monitoring dithionite oxidation.,50 mM potassium phosphate buffer with 50 mM total KCl/KNO2 ionic strength.,7.0,Inferred from general methods for spectroscopic measurements.,10.0,Escherichia coli C41(DE3),pET22b,"0.3 mM IPTG, 0.1 mM CuSO4, 0.3 mM 5-aminolevulinic acid, 20 °C, overnight"
PMID32051772,reaction_2,in vitro,Steady-state activity measurements monitoring dithionite oxidation.,50 mM potassium phosphate buffer with 50 mM total KCl/KNO2 ionic strength.,7.0,Inferred from general methods for spectroscopic measurements.,10.0,Escherichia coli BL21(DE3),pETM-11,"0.5 mM IPTG, 0.1 mM CuSO4, 20 °C, overnight"
PMID32051772,reaction_3,in vitro,Steady-state activity measurements monitoring dithionite oxidation.,50 mM potassium phosphate buffer with 50 mM total KCl/KNO2 ionic strength.,7.0,Inferred from general methods for spectroscopic measurements.,10.0,,,
PMID32051772,reaction_4,in vitro,Laser flash photolysis monitoring intraprotein electron transfer.,50 mM potassium phosphate buffer with 200 µM NADH and 50 mM N-methyl nicotinamide (NMN).,7.0,,10.0,,,
PMID32051772,reaction_5,in vitro,Stopped-flow spectroscopy monitoring interprotein electron transfer.,50 mM potassium phosphate buffer,7.0,Inferred from general methods.,10.0,,,
PMID32051772,reaction_6,in vitro,Stopped-flow spectroscopy monitoring interprotein electron transfer between deconstructed domains.,50 mM potassium phosphate buffer,7.0,Inferred from general methods.,10.0,,,
PMID32051772,reaction_7,in vitro,Laser flash photolysis monitoring inter-copper electron transfer.,50 mM potassium phosphate buffer with 200 µM NADH and 50 mM N-methyl nicotinamide (NMN).,7.0,,10.0,,,
PMID32054270,reaction_1,in vivo,Intracellular accumulation of D-xylose in engineered S. cerevisiae.,SD medium,5.0,"pH was set to 5.0 for the facilitator/symporter assay, which characterized the transport mechanism.",30.0,Saccharomyces cerevisiae EBY.VW4000,pJFE3 or pJFE3-yEGFP3,
PMID32054270,reaction_2,in vivo,Glucose consumption assay and growth assay in engineered S. cerevisiae.,SD medium supplemented with CSM-URA and 20 g/L glucose,,,30.0,Saccharomyces cerevisiae EBY.VW4000,pJFE3,
PMID32054270,reaction_3,in vivo,Growth assay on plates.,SD medium with 20 g/L mannose,,,30.0,,,
PMID32054270,reaction_4,in vivo,Growth assay on plates.,SD medium with 20 g/L fructose,,,30.0,,,
PMID32054270,reaction_5,in vivo,Intracellular accumulation of D-xylose in engineered S. cerevisiae.,SD medium,5.0,pH was set to 5.0 for the facilitator/symporter assay.,30.0,,,
PMID32054270,reaction_6,in vivo,Intracellular accumulation assay and growth assay.,SD medium,,,30.0,,,
PMID32054270,reaction_7,in vivo,Intracellular accumulation assay and growth assay.,SD medium,,,30.0,,,
PMID32054270,reaction_8,in vivo,Growth assay on plates.,SD medium with 20 g/L glucose,,,30.0,,,
PMID32054839,reaction_1,in vitro,Enzyme kinetics and product specificity assay,100 mM HEPES-NaOH buffer,7.5,,30.0,Escherichia coli BL21,pCold I,
PMID32054839,reaction_2,in vitro,Enzyme kinetics and product specificity assay,100 mM HEPES-NaOH buffer,7.5,,30.0,Escherichia coli BL21,pCold I,
PMID32054839,reaction_3,in vitro,Enzyme kinetics and product specificity assay,100 mM HEPES-NaOH buffer,7.5,,30.0,Escherichia coli BL21,pCold I,
PMID32054839,reaction_4,in vitro,Enzyme kinetics and product specificity assay,100 mM HEPES-NaOH buffer,7.5,,30.0,Escherichia coli BL21,pCold I,
PMID32054839,reaction_5,in vitro,Enzyme kinetics and product specificity assay,100 mM HEPES-NaOH buffer,7.5,,30.0,Escherichia coli BL21,pCold I,
PMID32054839,reaction_6,in vitro,Product specificity assay,100 mM HEPES-NaOH buffer,7.5,,30.0,Escherichia coli BL21,pCold I,
PMID32054839,reaction_7,in vitro,Product specificity assay,100 mM HEPES-NaOH buffer,7.5,,30.0,Escherichia coli BL21,pCold I,
PMID32054839,reaction_8,in vitro,Product specificity assay,100 mM HEPES-NaOH buffer,7.5,,30.0,Escherichia coli BL21,pCold I,
PMID32054839,reaction_9,in vitro,Product specificity assay,100 mM HEPES-NaOH buffer,7.5,,30.0,Escherichia coli BL21,pCold I,
PMID32054839,reaction_10,in vivo,Whole-cell bioconversion by recombinant E. coli,M9 medium,,,30.0,Escherichia coli Rosetta2 (DE3),pET15b-Gm4CL-3-GmCHS-1 and pET15b-Gm4CL-3-GmCHS-1-GmCHIL,"1.0 mM IPTG, 18°C, 20h"
PMID32054864,reaction_1,in vivo,Assayed in whole HEK293 and HeLa cells. Galactosylation status of free GPIs was measured by flow cytometry using T5 mAb and western blot. Galactosylation of protein-linked GPIs (on CD59) was analyzed by LC-ESI-MS/MS.,,,,37.0,HEK293 cells,,
PMID32054864,reaction_2,in vitro,GM1 synthase activity assay using membrane fractions from HEK293 cells. Activity also confirmed in vivo by measuring cell surface GM1a levels with CTxB via flow cytometry.,"25 mM HEPES (pH 7.2), 10 mM MnCl2, 0.4% Triton X-100, 100 µM UDP-Gal",7.2,,37.0,HEK293 cells,,
PMID32054864,reaction_3,in vivo,Activity inferred from knockout and rescue experiments in PIGS-KO HEK293 cells. The requirement of enzymatic activity was confirmed as the D144A catalytically inactive mutant failed to rescue downstream GM1 synthesis and GPI galactosylation.,,,,37.0,PIGS-UGCG-DKO HEK293 cells,,
PMID32054864,reaction_4,in vivo,Activity inferred from knockout (B4GALT5 single KO and B4GALT5/B4GALT6 triple KO) and rescue experiments in PIGS-KO HEK293 cells. The requirement of enzymatic activity was confirmed as the B4GALT5 D300A catalytically inactive mutant failed to rescue GPI galactosylation.,,,,37.0,PIGS-B4GALT5-B4GALT6-TKO HEK293 cells,,
PMID32055924,reaction_1,in vitro,Enzyme activity assays using crude protein extracts from transformed Physcomitrella patens.,"0.1 M Tris–HCl, 1 mM dithiothreitol, 1 mM diethyldithiocarbamate",7.0,Optimum pH determined to be around 7.0,25.0,Physcomitrella patens,pTHUbiGate,Expressed under the control of the maize ubiquitin promotor.
PMID32055924,reaction_2,in vitro,Enzyme activity assays using crude protein extracts from wild-type Physcomitrella patens.,"0.1 M Tris–HCl, 1 mM dithiothreitol, 1 mM diethyldithiocarbamate",7.0,Optimum pH determined to be around 7.0,25.0,,,
PMID32056499,reaction_1,in vitro,Enzyme activity and kinetic analysis,50 mM Na2HPO4–NaH2PO4 buffer,6.0,,90.0,E. coli BL21,pET30a,
PMID32056499,reaction_2,in vitro,Decolorization of synthetic dye,50 mM Na2HPO4-NaH2PO4 buffer,7.5,,70.0,E. coli BL21,pET30a,
PMID32056499,reaction_3,in vitro,Decolorization of synthetic dye,50 mM Na2HPO4-NaH2PO4 buffer,7.5,,70.0,E. coli BL21,pET30a,
PMID32056499,reaction_4,in vitro,Decolorization of synthetic dye,50 mM Na2HPO4-NaH2PO4 buffer,8.0,,70.0,E. coli BL21,pET30a,
PMID32056499,reaction_5,in vitro,Decolorization of synthetic dye,50 mM Na2HPO4-NaH2PO4 buffer,7.5,,70.0,E. coli BL21,pET30a,
PMID32057065,reaction_1,in vitro,Bioluminescence assay,"50 mM Tris-HCl, 2 mM CaCl2",8.5,,,E. coli BL21-Gold (DE3) Codon Plus (RIPL),pET22b,"1 mM IPTG at OD590 0.6-0.8, 37 °C for 3h"
PMID32057065,reaction_2,in vitro,Trp fluorescence quenching assay to determine dissociation constant,"5 mM EDTA, 20 mM Tris-HCl",7.2,,20.0,,,
PMID32059844,reaction_1,in vitro,Enzyme activity was assayed by measuring the increase in absorbance at 340 nm caused by the reduction of NAD+ to NADH.,"20 mM potassium phosphate buffer, 0.2 mM MnCl2, and 300 mM KCl",7.6,,,E. coli BL21 (DE3),,
PMID32060291,reaction_1,in vitro,Reconstitution of Fd-dependent plastoquinone reduction in thylakoid membranes from M55 mutant (ΔndhB) of Synechocystis 6803. Activity was monitored by chlorophyll fluorescence.,"0.5 M sorbitol, 10 mM MgCl2, 10 mM NaCl, 10 mM HEPES, and 5 mM sodium phosphate, pH 7.5",7.5,,,"The NDH-1LΔV complex was purified from native Thermosynechococcus elongatus BP-1. Ferredoxin, NdhV, and NdhO subunits were recombinantly expressed in Escherichia coli Rosetta (DE3).",pMAL vector (for recombinant proteins),"0.1 mM IPTG, 18 °C, overnight (for recombinant proteins)"
PMID32060650,reaction_1,in vitro,Coupled spectrophotometric assay,"100 mM multicomponent buffer (2.5 mM citric acid, 2.5 mM Bis–Tris, 2.5 mM Tris and 2.5 mM CHES)",9.0,,30.0,,,
PMID32060650,reaction_2,in vitro,Coupled spectrophotometric assay,"100 mM multicomponent buffer (2.5 mM citric acid, 2.5 mM Bis–Tris, 2.5 mM Tris and 2.5 mM CHES)",9.0,,30.0,,,
PMID32060650,reaction_3,in vitro,Direct spectrophotometric assay,"100 mM multicomponent buffer (2.5 mM citric acid, 2.5 mM Bis–Tris, 2.5 mM Tris and 2.5 mM CHES)",9.0,,30.0,,,
