literature_id,reaction_id,inhibitor_name,inhibition_type,inhibitor_smiles,synonyms,activity_qualitative,inhibition_qualitative,details,notes
PMID32034864,reaction_3,Aclonifen,No significant inhibition observed at 10 µM concentration.,,,,,,
PMID32034864,reaction_4,Aclonifen,No significant inhibition observed at 10 µM concentration.,,,,,,
PMID32034864,reaction_5,Aclonifen,No significant inhibition observed at 10 µM concentration.,,,,,,
PMID32034864,reaction_6,Aclonifen,No significant inhibition observed at 10 µM concentration.,,,,,,
PMID32034864,reaction_7,Aclonifen,Not inhibited by 10 µM aclonifen; pI50 < 5.,,,,,,
PMID32034864,reaction_8,Aclonifen,Extremely weak inhibition; pI50 < 5.,,,,,,
PMID32034864,reaction_9,Aclonifen,Unable to inhibit; pI50 < 4.5.,,,,,,
PMID32034864,reaction_10,Aclonifen,Binding confirmed by X-ray crystallography at 2.4 Å resolution. Binds at the dimer interface in the elongation cavity.,,,,,,
PMID32039339,reaction_3,Ca2+,Apparent reversible inhibition,,,,,"Observed at high Ca2+ concentrations (>3 mM), possibly due to the formation of an inactive PQQ/Ca2+ complex in solution, which reduces the amount of free PQQ available for reconstitution.",
PMID32039535,reaction_1,Physcion,Non-competitive (inferred from binding site description),Oc1cc(OC)cc2c1C(=O)c1c(O)cc(C)cc1C2=O,,,,,
PMID32039535,reaction_1,S3,,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,,,,,
PMID32039535,reaction_1,N-Benzoylindole,Noncompetitive,O=C(c1ccccc1)n1ccc2ccccc21,,,,,
PMID32039535,reaction_1,N-(4-chlorobenzoyl) indole,Competitive,O=C(c1ccc(Cl)cc1)n1ccc2ccccc21,,,,,
PMID32039535,reaction_1,1H-Indol-1-il(tiyofen-2-il)methanon,Competitive,O=C(c1cccs1)n1ccc2ccccc21,,,,,
PMID32042062,reaction_1,hNAA50,Allosteric,,,,,Decreased hNatA activity by ~50% at concentrations >100 nM.,
PMID32042062,reaction_1,MBP-HYPK,Allosteric,,,,,Showed ~90% inhibition of hNatA activity at concentrations >100 nM.,
PMID32044025,reaction_1,6-HCP,product inhibition,,,,,,
PMID32051772,reaction_2,Nitrite,Substrate inhibition,,,,,,
PMID32051772,reaction_7,Nitrite,Substrate inhibition,,,,,,
PMID32059844,reaction_1,O-isobutenyl oxalylhydroxamate,Competitive,,,,,,
PMID32060291,reaction_1,rotenone,Specific inhibitor of NDH-1,,,,,,
PMID32086051,reaction_1,Epalrestat,Not specified,,,,,,
PMID32086051,reaction_1,Compound 6g,Uncompetitive,,,,,,
PMID32086051,reaction_1,Compound 6e,Uncompetitive,,,,,,
PMID32086051,reaction_1,Compound 6i,Uncompetitive,,,,,,
PMID32086051,reaction_1,Compound 6h,Uncompetitive,,,,,,
PMID32086051,reaction_1,Compound 6f,Uncompetitive,,,,,,
PMID32086051,reaction_1,Compound 6j,Uncompetitive,,,,,,
PMID32086051,reaction_1,Compound 6c,Uncompetitive,,,,,,
PMID32086051,reaction_1,Compound 6a,Uncompetitive,,,,,,
PMID32086051,reaction_1,Compound 6k,Uncompetitive,,,,,,
PMID32086051,reaction_1,Compound 6l,Uncompetitive,,,,,,
PMID32086051,reaction_1,Compound 6b,Uncompetitive,,,,,,
PMID32086051,reaction_1,Compound 6d,Uncompetitive,,,,,,
PMID32086387,reaction_1,Compound C,Pharmacological inhibitor of AMPK used at 10 µM. It reversed the antiviral effects of AMPK activators.,,,,,,
PMID32086387,reaction_1,Zika virus (ZIKV) infection,"Indirect inhibition. ZIKV infection resulted in a time-dependent decrease in the phosphorylation of AMPK's substrate, ACC, indicating impaired AMPK activity.",,,,,,
PMID32090335,reaction_1,Histamine,Substrate inhibition,,,,,,
PMID32094184,reaction_1,Cyanide,Competitive,,,,,,
PMID32094184,reaction_1,Cyanate,Mixed,,,,,,Mixed type inhibition with Kic = 0.9 mM and Kiu = 1.2 mM. The ki field contains the Kic value.
PMID32094184,reaction_1,Azide,,,,,,,
PMID32094184,reaction_2,Cyanide,Competitive,,,,,,
PMID32094184,reaction_2,Cyanate,Mixed,,,,,,Mixed type inhibition with Kic = 0.9 mM and Kiu = 1.2 mM. The ki field contains the Kic value.
PMID32094184,reaction_2,Azide,,,,,,,
PMID32094184,reaction_3,Cyanide,Competitive,,,,,,
PMID32094184,reaction_3,Cyanate,Mixed,,,,,,Mixed type inhibition with Kic = 0.9 mM and Kiu = 1.2 mM. The ki field contains the Kic value.
PMID32094184,reaction_3,Azide,,,,,,,
PMID32099742,reaction_1,Ag+,,,,,,1 mM Ag+ resulted in 12.7 ± 1.6 % residual activity.,
PMID32099742,reaction_1,SDS,,,,,,1% (m/v) SDS resulted in 9.0 ± 0.1 % residual activity.,
PMID32099742,reaction_1,Cu2+,,,,,,1 mM Cu2+ resulted in 82.8 ± 2.3 % residual activity.,
PMID32099742,reaction_1,Fe2+,,,,,,1 mM Fe2+ resulted in 66.3 ± 3.8 % residual activity.,
PMID32101363,reaction_1,PDT-PAO-F16,Not specified,,,,,,
PMID32101363,reaction_2,PDT-PAO-F16,Not specified,,,,,,
PMID32101363,reaction_3,PDT-PAO-F16,Not specified,,,,,,
PMID32101363,reaction_4,PDT-PAO-F16,Not specified,,,,,,
PMID32101363,reaction_5,PDT-PAO-F16,Not specified,,,,,,
PMID32112503,reaction_1,triclosan,Not specified,,,,,,"FabMG is resistant to triclosan. At 0.98 µM triclosan, 87% of activity was maintained. At 7.80 µM and 31.25 µM, activity was reduced to 38% and 10%, respectively."
PMID32112503,reaction_2,triclosan,Not specified,,,,,,Activity was reduced to 20% at 0.98 µM triclosan. No activity was detected at higher triclosan concentrations.
PMID32113843,reaction_1,Compound 1,Reversible,,,,,,
PMID32113843,reaction_1,Compound 4 (racemic),Reversible,,,,,,
PMID32113843,reaction_1,Compound 5 (R-enantiomer),Reversible,,,,,,
PMID32113843,reaction_1,Compound 6 (S-enantiomer),Reversible,,,,,,
PMID32113843,reaction_1,Compound 7 (racemic),Reversible,,,,,,
PMID32113843,reaction_1,Compound 7E1,Reversible,,,,,,
PMID32113843,reaction_1,Compound 7E2,Reversible,,,,,,
PMID32113843,reaction_1,Compound 8 (racemic),Reversible,,,,,,
PMID32113843,reaction_1,Compound 9E1,Reversible,,,,,,
PMID32113843,reaction_1,Compound 9E2,Reversible,,,,,,
PMID32113843,reaction_1,Compound 10E1,Reversible,,,,,,
PMID32113843,reaction_1,Compound 10E2,Reversible,,,,,,
PMID32113843,reaction_1,Compound 11E2,Reversible,,,,,,
PMID32114907,reaction_2,bathocuproine sulfonate,No inhibition observed,,,,,,
PMID32114907,reaction_8,tungsten,Inhibits activity,,,,,,
PMID32117944,reaction_1,Zn2+,Activity lost,,,,,,
PMID32117944,reaction_1,Cu2+,Activity lost,,,,,,
PMID32117944,reaction_1,Co2+,Activity lost,,,,,,
PMID32117944,reaction_2,Zn2+,Activity lost,,,,,,
PMID32117944,reaction_2,Cu2+,Activity lost,,,,,,
PMID32117944,reaction_2,Co2+,Activity lost,,,,,,
PMID32117944,reaction_3,Zn2+,Activity lost,,,,,,
PMID32117944,reaction_3,Cu2+,Activity lost,,,,,,
PMID32117944,reaction_3,Co2+,Activity lost,,,,,,
PMID32117944,reaction_4,Zn2+,Activity lost,,,,,,
PMID32117944,reaction_4,Cu2+,Activity lost,,,,,,
PMID32117944,reaction_4,Co2+,Activity lost,,,,,,
PMID32125480,reaction_1,Menadione hydroquinol,Substrate inhibition,,,,,Relative activity drastically decreased with substrate concentrations >1.5 mM. A concentration of 3 mM almost absolutely inhibited the prenylation.,
PMID32130469,reaction_2,"Triton X-100 (0.1%, v/v)",Not specified,,,,,,Significantly inhibited vanillin production in the cascade reaction.
PMID32140842,reaction_1,EDTA,No inhibition observed,,,,,,
PMID32144268,reaction_1,AHCYL1,Negative regulation via heteromultimerization,,,,,,
PMID32146179,reaction_1,Compound 5d,,,,,,,
PMID32146179,reaction_1,Compound 5e,,,,,,,
PMID32146179,reaction_1,Compound 5l,,,,,,,
PMID32146179,reaction_1,Compound 5m,,,,,,,
PMID32146179,reaction_1,Compound 5o,,,,,,,
PMID32146179,reaction_1,Vancomycin,Positive control,,,,,,
PMID32152525,reaction_1,KES4,,,,,,,Remaining activity was 68.0 ± 0.5% at 50 µM concentration.
PMID32152525,reaction_1,Compound 3a (KET1),,,,,,,Remaining activity was 83.4 ± 1.2% at 50 µM concentration.
PMID32152525,reaction_1,Compound 3b (KET3),,,,,,,Remaining activity was 63.9 ± 0.7% at 50 µM concentration.
PMID32152525,reaction_1,Compound 3c (KET6),,,,,,,Remaining activity was 48.8 ± 2.4% at 50 µM concentration.
PMID32152525,reaction_1,Compound 3d (KET8),,,,,,,Remaining activity was 39.5 ± 0.6% at 50 µM concentration.
PMID32152525,reaction_1,Compound 3e (KET10),,,,,,,Remaining activity was 45.4 ± 1.2% at 50 µM concentration.
PMID32152525,reaction_1,Compound 3f (KET12),,,,,,,Remaining activity was 41.2 ± 0.6% at 50 µM concentration.
PMID32152525,reaction_1,Compound 3g (KET15),,,,,,,Remaining activity was 66.5 ± 2.1% at 50 µM concentration.
PMID32152525,reaction_1,Triclosan (TCS),,,,,,,Almost completely inhibited the enzyme at 50 µM concentration.
PMID32153057,reaction_1,lansoprazole,No significant inhibition observed at 3 µg/ml concentration.,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,,,,,
PMID32155529,reaction_1_in_vitro,Compound 5,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 13a,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 13b,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 14a,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 14b,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27a,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27b,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27c,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27d,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27e,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27f,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27g,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27h,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27i,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27j,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27k,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27l,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27m,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27n,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27o,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27p,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27q,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27r,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27s,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27t,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27u,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27v,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27w,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27x,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27y,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27z,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27aa,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27ab,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 27ac,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 33a,,,,,,,
PMID32155529,reaction_1_in_vitro,Compound 33b,,,,,,,
PMID32155529,reaction_1_in_vitro,CPI-455,,,,,,,
PMID32155529,reaction_2_in_cellulo,Compound 27ab,Not specified,,,,,,Induced significant accumulation of H3K4me2/3 in a dose-dependent manner from 0.5 µM to 20 µM after 5 days of treatment.
PMID32155529,reaction_2_in_cellulo,Compound 33a,Not specified,,,,,,"Used as a negative control, failed to induce accumulation of H3K4me2/3."
PMID32158501,reaction_1,Catalase,Scavenging of H2O2 cosubstrate,,,,,"2000 U/mL catalase clearly, but not fully, suppressed the catalytic reaction, indicating dependence on H2O2 generated from ascorbate and O2.",
PMID32158501,reaction_2,Catalase,Scavenging of H2O2 cosubstrate,,,,,"2000 U/mL catalase completely inhibited the reaction at low CDH concentrations (0.5 µM), indicating H2O2 is the key cosubstrate.",
PMID32159929,reaction_1_cyt_bo3,HQNO,noncompetitive or uncompetitive,,,,,,
PMID32159929,reaction_1_cyt_bo3,HNQ-12,,,,,,,
PMID32159929,reaction_1_cyt_bo3,HNQ-6,,,,,,,
PMID32159929,reaction_1_cyt_bo3,KCN,,,,Strong inhibition at 20 µM (positive control).,,,
PMID32159929,reaction_1_cyt_bo3,HNQ-1,,,,"Strong inhibition (>50%, ~90% relative inhibition) at 250 µM.",,,
PMID32159929,reaction_1_cyt_bo3,HNQ-2,,,,"Strong inhibition (>50%, ~80% relative inhibition) at 250 µM.",,,
PMID32159929,reaction_1_cyt_bo3,HNQ-7,,,,"Strong inhibition (>50%, ~55% relative inhibition) at 250 µM.",,,
PMID32159929,reaction_1_cyt_bo3,HNQ-5,,,,Moderate inhibition (~40% relative inhibition) at 250 µM.,,,
PMID32159929,reaction_1_cyt_bo3,HNQ-10,,,,Low inhibition (~30% relative inhibition) at 250 µM.,,,
PMID32159929,reaction_1_cyt_bo3,HNQ-3,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32159929,reaction_1_cyt_bo3,HNQ-4,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32159929,reaction_1_cyt_bo3,HNQ-8,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32159929,reaction_1_cyt_bo3,HNQ-9,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32159929,reaction_1_cyt_bo3,HNQ-11,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32159929,reaction_2_cyt_bdI,HNQ-12,,,,Inhibition of 56% at 250 µM.,,,
PMID32159929,reaction_2_cyt_bdI,HNQ-1,,,,Inhibition of 30% at 250 µM.,,,
PMID32159929,reaction_2_cyt_bdI,HQNO,,,,Strong inhibition (~90% relative inhibition) at 250 µM.,,,
PMID32159929,reaction_2_cyt_bdI,HNQ-2,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32159929,reaction_2_cyt_bdI,HNQ-3,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32159929,reaction_2_cyt_bdI,HNQ-4,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32159929,reaction_2_cyt_bdI,HNQ-5,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32159929,reaction_2_cyt_bdI,HNQ-6,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32159929,reaction_2_cyt_bdI,HNQ-7,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32159929,reaction_2_cyt_bdI,HNQ-8,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32159929,reaction_2_cyt_bdI,HNQ-9,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32159929,reaction_2_cyt_bdI,HNQ-10,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32159929,reaction_2_cyt_bdI,HNQ-11,,,,No or low inhibitory effect (<30%) at 250 µM.,,,
PMID32170014,reaction_1,NB-598,Active-site inhibitor,,,,,,
PMID32170014,reaction_1,Terbinafine,Active-site inhibitor,,,,,,
PMID32170014,reaction_1,Butenafine,Active-site inhibitor,,,,,,
PMID32170014,reaction_1,Naftifine,Active-site inhibitor,,,,,,
PMID32171154,reaction_1,"1-(4-methoxyphenyl)-3-(5-(5-nitrofuran-2-yl)-1,3,4-thiadiazol-2-yl)thiourea (5b)",,,,,,,
PMID32171154,reaction_1,"1-(4-fluorophenyl)-3-(5-(5-nitrofuran-2-yl)-1,3,4-thiadiazol-2-yl)thiourea (5c)",,,,,,,
PMID32171154,reaction_1,"1-(4-methoxyphenyl)-3-(5-(5-nitrothiophen-2-yl)-1,3,4-thiadiazol-2-yl)thiourea (5e)",,,,,,,
PMID32171154,reaction_1,"1-(4-chlorophenyl)-3-(5-(5-nitrothiophen-2-yl)-1,3,4-thiadiazol-2-yl)thiourea (5g)",,,,,,,
PMID32171154,reaction_1,"4-acetyl-N-(5-(5-nitrofuran-2-yl)-1,3,4-thiadiazol-2-yl)benzenesulfonamide (6c)",,,,,,,
PMID32171154,reaction_1,"((4-methoxyphenyl)carbamoyl)(5-(5-nitrothiophen-2-yl)-1,3,4-thiadiazol-2-yl)amide (Lead)",,,,,,,
PMID32171656,reaction_1,Ca2+,,,,,,,
PMID32171656,reaction_1,Zn2+,,,,,,,
PMID32171656,reaction_1,Ni2+,,,,,,,
PMID32171656,reaction_1,Cu2+,,,,,,,
PMID32171656,reaction_1,Mn2+,,,,,,,
PMID32171656,reaction_1,DTT,,,,,,,
PMID32171656,reaction_1,EDTA,,,,,,,
PMID32171656,reaction_1,β-mercaptoethanol,,,,,,,
PMID32171656,reaction_2,Ca2+,,,,,,,
PMID32171656,reaction_2,Zn2+,,,,,,,
PMID32171656,reaction_2,Ni2+,,,,,,,
PMID32171656,reaction_2,Cu2+,,,,,,,
PMID32171656,reaction_2,Mn2+,,,,,,,
PMID32171656,reaction_2,KCl,,,,,,,
PMID32171656,reaction_2,NaCl,,,,,,,
PMID32171656,reaction_2,DTT,,,,,,,
PMID32171656,reaction_2,EDTA,,,,,,,
PMID32171656,reaction_2,β-mercaptoethanol,,,,,,,
PMID32171656,reaction_3,Mg2+,,,,,,,
PMID32171656,reaction_3,Ca2+,,,,,,,
PMID32171656,reaction_3,Zn2+,,,,,,,
PMID32171656,reaction_3,Ni2+,,,,,,,
PMID32171656,reaction_3,Cu2+,,,,,,,
PMID32171656,reaction_3,Mn2+,,,,,,,
PMID32171656,reaction_3,KCl,,,,,,,
PMID32171656,reaction_3,NaCl,,,,,,,
PMID32171656,reaction_3,DTT,,,,,,,
PMID32171656,reaction_3,EDTA,,,,,,,
PMID32171656,reaction_3,β-mercaptoethanol,,,,,,,
PMID32171906,reaction_3,ATP,Not specified,,,,,,Preincubation with millimolar concentrations reduced activity by up to 90%.
PMID32171906,reaction_3,ADP,Not specified,,,,,,Preincubation with 5 mM ADP reduces the KAT activity in a similar manner as ATP.
PMID32178258,reaction_1,TO502-2403,Non-inhibitory,O=C(Nc1ccn(-c2ccccc2)n1)c1cc(-c2ccccc2)nc2ccccc12,CSFCII,,,,Had no effect on the activity of the purified viral polymerase.
PMID32178258,reaction_1,TO505-6180,Non-inhibitory,c1(C)ccc2nc(NC(=O)c3cc(-c4ccco4)nc4ccccc34)sc2c1,CSFCI,,,,Had no effect on the activity of the purified viral polymerase.
PMID32178258,reaction_1,3'-deoxyguanosine-5'-triphosphate,Nucleotide analogue inhibitor,,3'-dGTP,,,,
PMID32178258,reaction_2,TO502-2403,Non-nucleoside inhibitor,O=C(Nc1ccn(-c2ccccc2)n1)c1cc(-c2ccccc2)nc2ccccc12,CSFCII,,,,"Inhibited wild-type RC activity in a dose-dependent manner, with approximately 90% inhibition at 10 µM."
PMID32178258,reaction_2,TO505-6180,Non-nucleoside inhibitor,c1(C)ccc2nc(NC(=O)c3cc(-c4ccco4)nc4ccccc34)sc2c1,CSFCI,,,,Inhibited wild-type RC activity in a dose-dependent manner.
PMID32178974,reaction_1,Compound 1,Not specified,,,,,,
PMID32180325,reaction_2,8-vinyl chlorophyllide a,Competitive,,,,,,
PMID32181246,reaction_1,Fe2+,Not specified,,,,,,
PMID32181246,reaction_1,SDS,Not specified,,,,,,
PMID32181246,reaction_1,DTT,Not specified,,,,,,
PMID32181246,reaction_2,Cu2+,Not specified,,,,,,
PMID32181246,reaction_2,SDS,Not specified,,,,,,
PMID32181246,reaction_2,DTT,Not specified,,,,,,
PMID32182320,reaction_1,N-oxalylglycine,Inactive co-substrate analog used for co-crystallization,,,,,,
PMID32184968,reaction_1,THZ-P1-2,,,,,,,
PMID32184968,reaction_1,Compound 6,,,,,,,
PMID32184968,reaction_1,Compound 7,,,,,,,
PMID32184968,reaction_1,Compound 8,,,,,,,
PMID32184968,reaction_1,Compound 9,,,,,,,
PMID32184968,reaction_1,Compound 10,,,,,,,
PMID32184968,reaction_1,Compound 11,,,,,,,
PMID32184968,reaction_1,Compound 14,,,,,,,
PMID32184968,reaction_1,Compound 15,,,,,,,
PMID32184968,reaction_1,Compound 16,,,,,,,
PMID32184968,reaction_1,Compound 17,,,,,,,
PMID32184968,reaction_1,Compound 18,,,,,,,
PMID32184968,reaction_1,Compound 19,,,,,,,
PMID32184968,reaction_1,Compound 22,,,,,,,
PMID32184968,reaction_1,Compound 25,,,,,,,
PMID32184968,reaction_1,Compound 30,,,,,,,
PMID32184968,reaction_2,THZ-P1-2,,,,,,,
PMID32184968,reaction_2,Compound 6,,,,,,,
PMID32184968,reaction_2,Compound 7,,,,,,,
PMID32184968,reaction_2,Compound 8,,,,,,,
PMID32184968,reaction_2,Compound 9,,,,,,,
PMID32184968,reaction_2,Compound 10,,,,,,,
PMID32184968,reaction_2,Compound 11,,,,,,,
PMID32184968,reaction_2,Compound 14,,,,,,,
PMID32184968,reaction_2,Compound 15,,,,,,,
PMID32184968,reaction_2,Compound 16,,,,,,,
PMID32184968,reaction_2,Compound 17,,,,,,,
PMID32184968,reaction_2,Compound 18,,,,,,,
PMID32184968,reaction_2,Compound 19,,,,,,,
PMID32184968,reaction_2,Compound 22,,,,,,,
PMID32184968,reaction_2,Compound 25,,,,,,,
PMID32184968,reaction_2,Compound 30,,,,,,,
PMID32190117,reaction_1,H2O2,Inactivation at high concentrations,,,,,Substrate conversion rates declined with H2O2 concentrations between 1000 and 5000 µM.,
PMID32196942,reaction_1,ATP,Substrate inhibition,,,,,at pH 7.5,
PMID32196942,reaction_1,ATP,Substrate inhibition,,,,,at pH 5.5,
PMID32196942,reaction_1,ADP,Product inhibition,,,,,at pH 7.5,
PMID32196942,reaction_1,ADP,Product inhibition,,,,,at pH 5.5,
PMID32196942,reaction_1,Mg2+,Regulatory inhibition,,,,,Inhibits at pH 7.5 by binding to a regulatory site in the PAS domain.,
PMID32196942,reaction_1,Mn2+,Regulatory inhibition,,,,,"Inhibits at high concentration (2mM) at pH 7.5, similar to Mg2+.",
PMID32196942,reaction_2,ATP,Substrate inhibition,,,,,at pH 7.5,
PMID32196942,reaction_2,ATP,Substrate inhibition,,,,,at pH 5.5,
PMID32196942,reaction_2,ADP,Product inhibition,,,,,at pH 7.5,
PMID32196942,reaction_2,ADP,Product inhibition,,,,,at pH 5.5,
PMID32198779,reaction_1,3-(methylsulfonyl)-2-oxopropanic acid,Tight-binding,,E4P,,,,
PMID32198779,reaction_1,MMV688271,Tight-binding,,E10,,,,
PMID32198779,reaction_1,2-aminophenol,No inhibition observed,,2-AP,,,,
PMID32198779,reaction_1,"3-((Ethylsulfonyl)methyl)-2H-benzo[b][1,4]oxazin-2-one","Inhibitor, less active than parent compound E4",,4b,,,,
PMID32198779,reaction_1,"3-((Propylsulfonyl)methyl)-2H-benzo[b][1,4]oxazin-2-one","Inhibitor, less active than parent compound E4",,4c,,,,
PMID32198779,reaction_1,"3-(Tosylmethyl)-2H-benzo[b][1,4]oxazin-2-one",Inactive,,4d,,,,
