literature_id,reaction_id,factor_name
PMID32098824,reaction_2,"Persulfide dioxygenase (PDO, gene SYNPCC7002_A2866)"
PMID32098824,reaction_2,Glutathione (GSH)
PMID32101345,reaction_1,Mg2+
PMID32101345,reaction_2,Mg2+
PMID32102842,reaction_1,Mg2+
PMID32102842,reaction_2,Mg2+
PMID32103318,reaction_2,Mg2+
PMID32103318,reaction_2,Polyphosphate kinase
PMID32103318,reaction_3,Mg2+
PMID32105687,reaction_1,pyruvate kinase
PMID32105687,reaction_1,lactate dehydrogenase
PMID32105687,reaction_1,MgSO4
PMID32105687,reaction_2,pyruvate kinase
PMID32105687,reaction_2,lactate dehydrogenase
PMID32105687,reaction_2,MgSO4
PMID32105687,reaction_3,pyruvate kinase
PMID32105687,reaction_3,lactate dehydrogenase
PMID32105687,reaction_3,MgSO4
PMID32105687,reaction_4,pyruvate kinase
PMID32105687,reaction_4,lactate dehydrogenase
PMID32105687,reaction_4,MgSO4
PMID32107984,reaction_1,Fe ion
PMID32113843,reaction_1,pyridoxal-5'-phosphate (PLP)
PMID32114907,reaction_2,Cu2+
PMID32114907,reaction_8,molybdopterin cytosine dinucleotide cofactor
PMID32115644,reaction_1,p450 oxoreductase (POR)
PMID32115688,reaction_1,Mitochondrial trifunctional protein (MTP)
PMID32115688,reaction_1,long-chain enoyl-CoA hydratase
PMID32115688,reaction_1,long-chain 3-ketoacyl-CoA thiolase
PMID32117944,reaction_1,Mg2+
PMID32117944,reaction_2,Mg2+
PMID32117944,reaction_3,Mg2+
PMID32117944,reaction_4,Mg2+
PMID32125480,reaction_1,Wild-type NovQ activity is independent of metal ions. Mutants E281Q and E281M exhibited strong requirement for Mg2+ and Mn2+.
PMID32130469,reaction_1,FeCl2 (0.6 mM)
PMID32130469,reaction_1,"glycerol (10%, v/v)"
PMID32130469,reaction_2,Ferulic acid decarboxylase (FDC) from Bacillus pumilus ATCC 14884
PMID32130469,reaction_2,FeCl2 (0.6 mM)
PMID32130469,reaction_2,"glycerol (10%, v/v)"
PMID32131594,reaction_1,Fe(II)
PMID32131594,reaction_2,Fe(II)
PMID32131594,reaction_3,Fe(II)
PMID32131594,reaction_4,Fe(II)
PMID32133382,reaction_1,Thioredoxin (from E. coli)
PMID32133382,reaction_1,Thioredoxin reductase (from E. coli)
PMID32140842,reaction_1,PLP
PMID32140842,reaction_1,Zn2+
PMID32140842,reaction_2,PLP
PMID32140842,reaction_3,PLP
PMID32140842,reaction_4,PLP
PMID32140842,reaction_5,PLP
PMID32140842,reaction_6,PLP
PMID32140842,reaction_7,PLP
PMID32141742,reaction_1,NADPH
PMID32141742,reaction_2,NADPH
PMID32144268,reaction_1,DJ-1
PMID32144268,reaction_1,AHCYL1
PMID32144268,reaction_1,NAD+
PMID32144268,reaction_1,NADH
PMID32145238,reaction_1,Glucono delta-lactone (GDL)
PMID32145238,reaction_2,Glucono delta-lactone (GDL)
PMID32146179,reaction_1,CaCl2
PMID32146179,reaction_1,Triton X-100
PMID32146179,reaction_1,muramidase
PMID32146811,crude_1,NADP/NADPH
PMID32146811,crude_2,NADP/NADPH
PMID32146811,crude_3,NADP/NADPH
PMID32146811,crude_4,NADP/NADPH
PMID32146811,crude_5,NADP/NADPH
PMID32146811,crude_6,NADP/NADPH
PMID32146811,crude_7,NADP/NADPH
PMID32146811,crude_8,NADP/NADPH
PMID32146811,crude_9,NADP/NADPH
PMID32146811,crude_10,NADP/NADPH
PMID32146811,crude_11,NADP/NADPH
PMID32146811,crude_12,NADP/NADPH
PMID32146811,crude_13,NADP/NADPH
PMID32146811,crude_14,NADP/NADPH
PMID32146811,crude_15,NADP/NADPH
PMID32146811,crude_16,NADP/NADPH
PMID32146811,crude_17,NADP/NADPH
PMID32146811,crude_18,NADP/NADPH
PMID32146811,crude_19,NADP/NADPH
PMID32146811,crude_20,NADP/NADPH
PMID32146811,crude_21,NADP/NADPH
PMID32146811,crude_22,NADP/NADPH
PMID32146811,crude_23,NADP/NADPH
PMID32146811,crude_24,NADP/NADPH
PMID32146811,crude_25,NADP/NADPH
PMID32146811,crude_26,NADP/NADPH
PMID32146811,crude_27,NADP/NADPH
PMID32146811,crude_28,NADP/NADPH
PMID32146811,crude_29,NADP/NADPH
PMID32146811,crude_30,NADP/NADPH
PMID32146811,crude_31,NADP/NADPH
PMID32146811,crude_32,NADP/NADPH
PMID32146811,bddet2_1,β-NADP
PMID32146811,bddet2_2,β-NADP
PMID32146811,bdcyp90b1_1,NADPH-Cyt P450 reductase
PMID32146811,bdcyp90b1_1,NADPH
PMID32146811,bdcyp90b1_2,NADPH-Cyt P450 reductase
PMID32146811,bdcyp90b1_2,NADPH
PMID32146811,bdcyp90a1_1,NADPH-Cyt P450 reductase
PMID32146811,bdcyp90a1_1,NADPH
PMID32146811,bdcyp90a1_2,NADPH-Cyt P450 reductase
PMID32146811,bdcyp90a1_2,NADPH
PMID32146811,bdcyp90a1_3,NADPH-Cyt P450 reductase
PMID32146811,bdcyp90a1_3,NADPH
PMID32146811,bdcyp90d2_1,NADPH-Cyt P450 reductase
PMID32146811,bdcyp90d2_1,NADPH
PMID32146811,bdcyp90d2_2,NADPH-Cyt P450 reductase
PMID32146811,bdcyp90d2_2,NADPH
PMID32146811,bdcyp90d2_3,NADPH-Cyt P450 reductase
PMID32146811,bdcyp90d2_3,NADPH
PMID32146811,bdcyp85a1_ecoli_1,NADPH-Cyt P450 reductase
PMID32146811,bdcyp85a1_ecoli_1,NADPH
PMID32146811,bdcyp85a1_ecoli_2,NADPH-Cyt P450 reductase
PMID32146811,bdcyp85a1_ecoli_2,NADPH
PMID32146811,bdcyp85a1_ecoli_3,NADPH-Cyt P450 reductase
PMID32146811,bdcyp85a1_ecoli_3,NADPH
PMID32146811,bdcyp85a1_ecoli_4,NADPH-Cyt P450 reductase
PMID32146811,bdcyp85a1_ecoli_4,NADPH
PMID32149287,reaction_3,9-deazaguanine
PMID32153057,reaction_1,hexokinase
PMID32153057,reaction_1,glucose-6-phosphate dehydrogenase
PMID32155529,reaction_1_in_vitro,Ascorbate
PMID32155529,reaction_1_in_vitro,Fe(II)
PMID32158501,reaction_2,NcCDHIIA (Cellobiose dehydrogenase IIA from N. crassa)
PMID32158501,reaction_3,NcCDHIIA (Cellobiose dehydrogenase IIA from N. crassa)
PMID32158501,reaction_3,Glucose oxidase (from Aspergillus niger)
PMID32158501,reaction_5,NcCDHIIA (Cellobiose dehydrogenase IIA from N. crassa)
PMID32159929,reaction_1_cyt_bo3,Dithiothreitol (DTT)
PMID32159929,reaction_2_cyt_bdI,Dithiothreitol (DTT)
PMID32160528,reaction_1,γ-subunit (Tma17p)
PMID32162142,reaction_1,azotetrazolium (chromogenic agent)
PMID32168758,reaction_1,Lactate dehydrogenase
PMID32168758,reaction_2,Lactate dehydrogenase
PMID32168758,reaction_3,Lactate dehydrogenase
PMID32168758,reaction_4,Lactate dehydrogenase
PMID32168758,reaction_5,Lactate dehydrogenase
PMID32169960,reaction_1,Mn2+
PMID32169960,reaction_1,Mg2+
PMID32169960,reaction_2,Mn2+
PMID32169960,reaction_2,Mg2+
PMID32169960,reaction_3,Mn2+
PMID32169960,reaction_3,Mg2+
PMID32169960,reaction_4,Mn2+
PMID32169960,reaction_4,Mg2+
PMID32169960,reaction_5,Mn2+
PMID32169960,reaction_5,Mg2+
PMID32169960,reaction_6,Mn2+
PMID32169960,reaction_6,Mg2+
PMID32170014,reaction_1,MARCH6 (E3 ubiquitin ligase)
PMID32171154,reaction_1,Mg2+
PMID32171154,reaction_1,NADPH
PMID32171656,reaction_1,Zn2+
PMID32171656,reaction_2,Zn2+
PMID32171656,reaction_3,Zn2+
PMID32172349,reaction_1,Calcium chloride
PMID32178974,reaction_1,rat NADPH cytochrome P450 oxidoreductase
PMID32180316,reaction_1,MgCl2
PMID32180316,reaction_2,MgCl2
PMID32180325,reaction_1,sodium dithionite (reductant)
PMID32180325,reaction_2,sodium dithionite (reductant)
PMID32181246,reaction_2,glutathione reductase
PMID32181246,reaction_2,NADPH
PMID32181246,reaction_2,GSH
PMID32182320,reaction_1,Fe(II) (natural cofactor)
PMID32182320,reaction_1,Ni(II) (surrogate for crystallization)
PMID32182320,reaction_1,Sr(II) (stabilizing agent for crystallization)
PMID32182513,reaction_1,CaCl2
PMID32182513,reaction_2,CaCl2
PMID32182513,reaction_3,CaCl2
PMID32182513,reaction_4,CaCl2
PMID32182513,reaction_5,MgSO4
PMID32182513,reaction_6,MgSO4
PMID32182756,reaction_1,Queuine-tRNA ribosyltransferase domain containing 1 (QTRT2)
PMID32184398,reaction_1,Mg2+
PMID32184398,reaction_2,Mg2+
PMID32184398,reaction_3,Mg2+
PMID32188856,reaction_1,Fe2+
PMID32188856,reaction_2,Fe2+
PMID32190117,reaction_2,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)', 'genbank_id': 'NC_003888.3', 'expression_system_host': 'Escherichia coli BL21(DE3)', 'expression_details': {'vector_plasmid': 'pET28b', 'induction_conditions': '0.2 mM IPTG, 24h at 18°C'}}"
PMID32190117,reaction_10,"{'name': 'Lipase from Candida rugosa', 'synonyms': ['CRL'], 'organism': 'Candida rugosa', 'details': 'Commercial enzyme'}"
PMID32190117,reaction_10,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)', 'genbank_id': 'NC_003888.3'}"
PMID32190117,reaction_11,"{'name': 'Lipase from Candida rugosa', 'synonyms': ['CRL'], 'organism': 'Candida rugosa'}"
PMID32190117,reaction_11,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_12,"{'name': 'Lipase from Candida rugosa', 'synonyms': ['CRL'], 'organism': 'Candida rugosa'}"
PMID32190117,reaction_12,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_13,"{'name': 'Lipase from Candida rugosa', 'synonyms': ['CRL'], 'organism': 'Candida rugosa'}"
PMID32190117,reaction_13,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_14,"{'name': 'Lipase from Candida rugosa', 'synonyms': ['CRL'], 'organism': 'Candida rugosa'}"
PMID32190117,reaction_14,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_15,"{'name': 'Lipase from Aspergillus oryzae', 'synonyms': ['AOL'], 'organism': 'Aspergillus oryzae', 'details': 'Commercial enzyme'}"
PMID32190117,reaction_15,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_16,"{'name': 'Lipase from Aspergillus oryzae', 'synonyms': ['AOL'], 'organism': 'Aspergillus oryzae'}"
PMID32190117,reaction_16,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_17,"{'name': 'Lipase from Candida rugosa', 'synonyms': ['CRL'], 'organism': 'Candida rugosa'}"
PMID32190117,reaction_17,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_18,"{'name': 'Lipase from Candida rugosa', 'synonyms': ['CRL'], 'organism': 'Candida rugosa'}"
PMID32190117,reaction_18,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_19,"{'name': 'Lipase from Candida rugosa', 'synonyms': ['CRL'], 'organism': 'Candida rugosa'}"
PMID32190117,reaction_19,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_20,"{'name': 'Lipase from Candida rugosa', 'synonyms': ['CRL'], 'organism': 'Candida rugosa'}"
PMID32190117,reaction_20,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_21,"{'name': 'Lipase from Candida rugosa', 'synonyms': ['CRL'], 'organism': 'Candida rugosa'}"
PMID32190117,reaction_21,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_22,"{'name': 'Lipase from Aspergillus oryzae', 'synonyms': ['AOL'], 'organism': 'Aspergillus oryzae'}"
PMID32190117,reaction_22,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_23,"{'name': 'Lipase from Aspergillus oryzae', 'synonyms': ['AOL'], 'organism': 'Aspergillus oryzae'}"
PMID32190117,reaction_23,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_24,"{'name': 'Lipase from Aspergillus oryzae', 'synonyms': ['AOL'], 'organism': 'Aspergillus oryzae'}"
PMID32190117,reaction_24,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_25,"{'name': 'Lipase from Aspergillus oryzae', 'synonyms': ['AOL'], 'organism': 'Aspergillus oryzae'}"
PMID32190117,reaction_25,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32190117,reaction_26,"{'name': 'Lipase from Aspergillus oryzae', 'synonyms': ['AOL'], 'organism': 'Aspergillus oryzae'}"
PMID32190117,reaction_26,"{'name': 'Alditol oxidase', 'synonyms': ['AldO'], 'organism': 'Streptomyces coelicolor A3(2)'}"
PMID32196091,reaction_1,human ferredoxin 1 (FdX)
PMID32196091,reaction_1,human ferredoxin reductase (FdxR)
PMID32196091,reaction_1,glucose-6-phosphate
PMID32196091,reaction_1,glucose-6-phosphate dehydrogenase
PMID32196091,reaction_1,NADPH
PMID32196091,reaction_2,human ferredoxin 1 (FdX)
PMID32196091,reaction_2,human ferredoxin reductase (FdxR)
PMID32196091,reaction_2,glucose-6-phosphate
PMID32196091,reaction_2,glucose-6-phosphate dehydrogenase
PMID32196091,reaction_2,NADPH
PMID32196091,reaction_3,human ferredoxin 1 (FdX)
PMID32196091,reaction_3,human ferredoxin reductase (FdxR)
PMID32196091,reaction_3,glucose-6-phosphate
PMID32196091,reaction_3,glucose-6-phosphate dehydrogenase
PMID32196091,reaction_3,NADPH
PMID32196942,reaction_1,Mg2+
PMID32196942,reaction_1,glyceraldehyde 3-phosphate dehydrogenase (for assay)
PMID32196942,reaction_1,NADH (for assay)
PMID32196942,reaction_2,Mg2+
PMID32196942,reaction_2,glyceraldehyde 3-phosphate dehydrogenase (for assay)
PMID32196942,reaction_2,NADH (for assay)
PMID32196942,reaction_3,Mg2+
PMID32196942,reaction_3,glyceraldehyde 3-phosphate dehydrogenase (for assay)
PMID32196942,reaction_3,NADH (for assay)
PMID32198047,reaction_1,Calmodulin
PMID32198047,reaction_1,Ca2+
PMID32198047,reaction_1,Mg2+
PMID32198047,reaction_2,Calmodulin
PMID32198047,reaction_2,Ca2+
PMID32198047,reaction_2,Mg2+
PMID32198779,reaction_1,Mg2+
PMID32198779,reaction_2,Mg2+
PMID32201979,reaction_1,NADPH
PMID32201979,reaction_2,NADPH
PMID32201979,reaction_3,NADPH
PMID32201979,reaction_4,NADPH
PMID32203655,reaction_1,NH3·BH3
PMID32203655,reaction_1,FAD
PMID32203655,reaction_3,NH3·BH3
PMID32203655,reaction_4,NH3·BH3
PMID32203655,reaction_5,NH3·BH3
PMID32203655,reaction_6,NH3·BH3
PMID32203655,reaction_7,NH3·BH3
PMID32203655,reaction_8,NH3·BH3
PMID32203655,reaction_9,NH3·BH3
PMID32203655,reaction_10,NH3·BH3
PMID32203655,reaction_11,NH3·BH3
PMID32203655,reaction_12,NH3·BH3
PMID32203655,reaction_13,NH3·BH3
PMID32203655,reaction_14,NH3·BH3
PMID32203655,reaction_15,NH3·BH3
PMID32203655,reaction_16,NH3·BH3
PMID32203655,reaction_17,NH3·BH3
PMID32203655,reaction_18,NH3·BH3
PMID32203655,reaction_19,NH3·BH3
PMID32205453,reaction_2,ascorbate oxidase
PMID32205454,reaction_1,Mg2+
PMID32205454,reaction_2,Mg2+
PMID32205454,reaction_3,Mg2+
PMID32205454,reaction_4,Mg2+
PMID32205454,reaction_5,Mg2+
PMID32205454,reaction_6,Mg2+
PMID32205454,reaction_7,Mg2+
PMID32205454,reaction_8,Mg2+
PMID32206501,reaction_1,Fe(II)
PMID32209662,reaction_1,NADPH
PMID32209662,reaction_1,Catalase
PMID32220614,reaction_1,isc-operon (iscSUA-hscBA-fdx-iscX)
PMID32220614,reaction_1,suf-operon (sufABCDSE)
PMID32220614,reaction_2,truncated lipoylated pyruvate dehydrogenase subunit (encoded by aceF)
PMID32222467,reaction_1,DTT
PMID32222467,reaction_2,DTT
PMID32226807,reaction_1_aminopyrine_demethylation,"NADPH-regenerating system (1.3 mM β-NADPNa2, 3.3 mM glucose 6-phosphate, 0.4 U/ml glucose 6-phosphate dehydrogenase)"
PMID32226807,reaction_A1_metabolism_RLM,NADPH-regenerating system
PMID32226807,reaction_A1_metabolism_HLM,NADPH-regenerating system
PMID32226807,reaction_A3_metabolism_RLM,NADPH-regenerating system
PMID32226807,reaction_A3_metabolism_HLM,NADPH-regenerating system
PMID32226807,reaction_A4_metabolism_RLM,NADPH-regenerating system
PMID32226807,reaction_A4_metabolism_HLM,NADPH-regenerating system
PMID32226807,reaction_A5_metabolism_RLM,NADPH-regenerating system
PMID32226807,reaction_A5_metabolism_HLM,NADPH-regenerating system
PMID32226807,reaction_A6_metabolism_RLM,NADPH-regenerating system
PMID32226807,reaction_A6_metabolism_HLM,NADPH-regenerating system
PMID32226807,reaction_E1_metabolism_RLM,NADPH-regenerating system
PMID32226807,reaction_E1_metabolism_HLM,NADPH-regenerating system
PMID32226807,reaction_E2_metabolism_RLM,NADPH-regenerating system
PMID32226807,reaction_E3_metabolism_RLM,NADPH-regenerating system
PMID32226807,reaction_E3_metabolism_HLM,NADPH-regenerating system
PMID32226807,reaction_E4_metabolism_RLM,NADPH-regenerating system
PMID32226807,reaction_E4_metabolism_HLM,NADPH-regenerating system
PMID32226807,reaction_E5_metabolism_RLM,NADPH-regenerating system
PMID32226807,reaction_E5_metabolism_HLM,NADPH-regenerating system
PMID32226807,reaction_C1_metabolism_RLM,NADPH-regenerating system
PMID32226807,reaction_C1_metabolism_HLM,NADPH-regenerating system
PMID32226807,reaction_T1_metabolism_RLM,NADPH-regenerating system
PMID32226807,reaction_T1_metabolism_HLM,NADPH-regenerating system
PMID32229210,reaction_1,Mg2+
PMID32229210,reaction_2,Mg2+
PMID32229210,reaction_3,Mg2+
PMID32229210,reaction_4,Mg2+
PMID32229210,reaction_5,Mg2+
PMID32229210,reaction_6,Mg2+
PMID32229210,reaction_7,Mg2+
PMID32229210,reaction_8,Mg2+
PMID32230972,reaction_1,Mn2+
PMID32230972,reaction_2,Mn2+
PMID32230972,reaction_3,Mn2+
PMID32230972,reaction_4,Mn2+
PMID32230972,reaction_6,Mn2+
PMID32230972,reaction_7,Mn2+
PMID32230972,reaction_8,Mn2+
PMID32230972,reaction_9,Mn2+
PMID32233056,reaction_1,Fe(II)
PMID32233056,reaction_1,ascorbic acid
PMID32233071,reaction_1,FAD (endogenous)
PMID32233071,reaction_1,Aldehyde dehydrogenase (native P. putida S12 enzyme)
PMID32234783,reaction_1,light
PMID32234783,reaction_2,light
PMID32235505,reaction_1,NAD+
PMID32235505,reaction_2,NAD+
PMID32246282,reaction_1,Heme b
PMID32246945,reaction_1,NADPH-dependent cytochrome P450 reductase (CPR)
PMID32246945,reaction_1,cytochrome b5
PMID32246945,reaction_1,GroES/EL chaperones
PMID32247165,reaction_1_sGDH,PQQ
PMID32247165,reaction_1_sGDH,Ca2+
PMID32247165,reaction_2_mGDH,PQQ
PMID32247165,reaction_2_mGDH,Mg2+
PMID32247165,reaction_2_mGDH,Ca2+
PMID32247276,reaction_5,Phosphate
PMID32247276,reaction_7,Phosphate
PMID32247276,reaction_9,Phosphate
PMID32248970,reaction_1,Type 1 Copper
PMID32248970,reaction_1,Type 2 Copper
PMID32251275,reaction_1,Mg2+
PMID32251275,reaction_1,K+
PMID32251275,reaction_2,Aldehyde-deformylating oxygenase (ADO)
PMID32251275,reaction_2,Ferredoxin
PMID32251275,reaction_2,Fd-NADP+ oxidoreductase (FNR)
PMID32251275,reaction_2,Mg2+
PMID32251275,reaction_2,K+
PMID32252458,reaction_1,NADPH production system
PMID32255260,reaction_1,sodium ascorbate
PMID32255260,reaction_1,phenazine methosulfate (PMS)
PMID32255260,reaction_2,sodium ascorbate
PMID32255260,reaction_2,phenazine methosulfate (PMS)
PMID32255260,reaction_3,sodium ascorbate
PMID32255260,reaction_3,phenazine methosulfate (PMS)
PMID32255260,reaction_4,sodium ascorbate
PMID32255260,reaction_4,phenazine methosulfate (PMS)
PMID32255260,reaction_5,sodium ascorbate
PMID32255260,reaction_5,phenazine methosulfate (PMS)
PMID32255260,reaction_6,sodium ascorbate
PMID32255260,reaction_6,phenazine methosulfate (PMS)
PMID32255260,reaction_7,sodium ascorbate
PMID32255260,reaction_7,phenazine methosulfate (PMS)
PMID32255505,reaction_2,"beta-glucosidase (BGL, EC 3.2.1.21)"
PMID32257583,reaction_1,non-heme iron
PMID32257583,reaction_2,non-heme iron
PMID32258011,reaction_1,Sorbosone dehydrogenase (SNDH) from G. oxydans WSH-004
PMID32269094,reaction_1,Mg2+
PMID32270839,reaction_1,non-heme iron
PMID32275065,reaction_1,IGMT1
PMID32275065,reaction_1,IGMT2
PMID32275825,reaction_1,Pyrophosphatase
PMID32275825,reaction_2,Pyrophosphatase
PMID32275991,reaction_1,pyridoxal 5’-phosphate
PMID32275991,reaction_2,Mg2+
PMID32277030,reaction_1,Antithrombin (for functional assay)
PMID32281473,reaction_1,NAD(H)
PMID32281473,reaction_1,Zinc
PMID32281473,reaction_2,NAD(H)
PMID32281473,reaction_2,Zinc
PMID32281473,reaction_3,NAD(H)
PMID32281473,reaction_3,Zinc
PMID32283297,reaction_1,FAD
PMID32283297,reaction_1,CoREST
PMID32296684,reaction_1,Formate dehydrogenase (FDH)
PMID32301564,reaction_1,haem
PMID32303871,reaction_1,DszD
PMID32303871,reaction_1,NADH
PMID32303871,reaction_1,FMN
PMID32305411,reaction_1,Mo-bisPyranopterin Guanosine Dinucleotide cofactor
PMID32305411,reaction_1,FeS clusters
PMID32305411,reaction_1,b-type hemes (bD and bP)
PMID32308735,reaction_1,Flavin adenine dinucleotide (FAD)
PMID32308735,reaction_2,Flavin adenine dinucleotide (FAD)
PMID32308735,reaction_3,Flavin adenine dinucleotide (FAD)
PMID32310661,reaction_1,covalently bound 8α-N(3)-histidyl FAD
PMID32314063,reaction_1,Hexaammineruthenium(III) chloride
